,Unnamed: 0,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,distance,row_index,time_zone,time_zones_crossed
0,0,2000-04-04,PIT,HOU,False,2,5,PIT07,Three Rivers Stadium,Pittsburgh,PA,37,3,1,0,1,20,6,6,0,36,5,0,0,1,21,5,3,1,2000,4,4,0,United States,-1,0,-77.209755,40.590752,3709,0,eastern,3
1,1,2000-04-05,PIT,HOU,False,2,11,PIT07,Three Rivers Stadium,Pittsburgh,PA,43,6,2,1,1,14,12,7,0,38,7,2,0,0,24,2,3,0,2000,4,5,0,United States,-1,0,-77.209755,40.590752,3709,1,eastern,3
2,2,2000-04-06,PIT,HOU,True,10,1,PIT07,Three Rivers Stadium,Pittsburgh,PA,31,0,2,0,0,18,8,3,0,44,9,4,1,2,15,9,4,0,2000,4,6,0,United States,1,1,-77.209755,40.590752,3709,2,eastern,3
3,3,2000-04-07,HOU,PHI,False,1,4,HOU03,Minute Maid Park,Houston,TX,35,3,1,0,2,21,5,3,0,32,4,0,0,1,20,5,2,0,2000,4,7,0,United States,-1,0,-97.563461,31.054487,2114,3,central,4
4,4,2000-04-08,HOU,PHI,True,8,5,HOU03,Minute Maid Park,Houston,TX,38,7,3,0,1,19,4,3,1,38,6,1,2,2,19,5,3,0,2000,4,8,0,United States,1,1,-97.563461,31.054487,2114,4,central,4
5,5,2000-04-09,HOU,PHI,True,2,3,HOU03,Minute Maid Park,Houston,TX,38,5,2,0,0,22,4,5,0,37,4,1,0,0,18,7,6,1,2000,4,9,0,United States,-1,0,-97.563461,31.054487,2114,5,central,4
6,6,2000-04-10,HOU,SLN,False,7,8,HOU03,Minute Maid Park,Houston,TX,42,5,3,1,4,15,10,3,1,36,2,1,0,4,18,7,3,1,2000,4,10,0,United States,-1,0,-97.563461,31.054487,2114,6,central,4
7,7,2000-04-11,HOU,SLN,False,6,10,HOU03,Minute Maid Park,Houston,TX,39,4,1,1,3,17,6,7,0,37,4,1,1,2,19,7,2,1,2000,4,11,0,United States,-1,0,-97.563461,31.054487,2114,7,central,4
8,8,2000-04-12,HOU,SLN,False,7,5,HOU03,Minute Maid Park,Houston,TX,38,5,1,1,2,18,8,3,0,37,3,3,0,3,13,10,5,0,2000,4,12,0,United States,1,1,-97.563461,31.054487,2114,8,central,4
9,9,2000-04-14,SDN,HOU,False,4,10,SAN01,Qualcomm Stadium,San Diego,CA,44,7,1,0,3,22,3,8,0,39,9,3,1,0,20,5,1,0,2000,4,14,0,United States,-1,0,-119.681564,36.116203,2123,9,pacific,6
10,10,2000-04-15,SDN,HOU,False,5,3,SAN01,Qualcomm Stadium,San Diego,CA,35,5,1,0,1,19,6,3,0,36,5,2,0,2,17,6,4,0,2000,4,15,0,United States,1,1,-119.681564,36.116203,2123,10,pacific,6
11,11,2000-04-16,SDN,HOU,True,13,3,SAN01,Qualcomm Stadium,San Diego,CA,39,7,1,0,0,18,10,2,1,45,15,1,0,2,15,8,2,2,2000,4,16,0,United States,1,1,-119.681564,36.116203,2123,11,pacific,6
12,12,2000-04-18,LAN,HOU,False,5,3,LOS03,Dodger Stadium,Los Angeles,CA,35,3,1,0,1,16,9,4,1,35,3,2,0,3,11,13,2,1,2000,4,18,0,United States,1,1,-119.681564,36.116203,2123,12,pacific,6
13,13,2000-04-19,LAN,HOU,False,3,10,LOS03,Dodger Stadium,Los Angeles,CA,50,12,2,0,0,24,3,4,5,38,4,1,0,2,19,8,4,0,2000,4,19,0,United States,-1,0,-119.681564,36.116203,2123,13,pacific,6
14,14,2000-04-21,HOU,SDN,False,2,7,HOU03,Minute Maid Park,Houston,TX,41,4,7,0,0,19,8,3,0,39,4,1,0,1,17,9,7,0,2000,4,21,0,United States,-1,0,-97.563461,31.054487,2123,14,central,8
15,15,2000-04-22,HOU,SDN,True,6,8,HOU03,Minute Maid Park,Houston,TX,46,7,5,0,2,18,10,4,0,45,1,3,0,2,16,14,7,2,2000,4,22,0,United States,-1,0,-97.563461,31.054487,2123,15,central,8
16,16,2000-04-23,HOU,SDN,True,10,11,HOU03,Minute Maid Park,Houston,TX,45,11,2,1,0,19,7,5,0,41,5,2,0,3,18,8,3,2,2000,4,23,0,United States,-1,0,-97.563461,31.054487,2123,16,central,8
17,17,2000-04-25,HOU,CHN,False,11,7,HOU03,Minute Maid Park,Houston,TX,42,5,3,0,2,20,7,5,0,41,10,5,0,1,16,5,3,1,2000,4,25,0,United States,1,1,-97.563461,31.054487,2123,17,central,8
18,18,2000-04-26,HOU,CHN,False,8,13,HOU03,Minute Maid Park,Houston,TX,53,10,4,0,2,22,6,7,2,46,7,0,1,3,23,2,10,0,2000,4,26,0,United States,-1,0,-97.563461,31.054487,2123,18,central,8
19,19,2000-04-27,HOU,CHN,True,3,12,HOU03,Minute Maid Park,Houston,TX,46,4,5,0,5,18,10,3,1,35,3,1,0,1,22,7,0,1,2000,4,27,0,United States,-1,0,-97.563461,31.054487,2123,19,central,8
20,20,2000-04-28,MIL,HOU,False,0,7,MIL05,County Stadium,Milwaukee,WI,44,4,1,0,3,21,4,11,0,29,1,0,0,0,23,3,2,0,2000,4,28,0,United States,-1,0,-89.616508,44.268543,1623,20,central,8
21,21,2000-04-29,MIL,HOU,True,3,10,MIL05,County Stadium,Milwaukee,WI,48,3,1,1,0,17,10,14,2,43,6,0,0,1,22,4,9,1,2000,4,29,0,United States,-1,0,-89.616508,44.268543,1623,21,central,8
22,22,2000-04-30,MIL,HOU,True,4,3,MIL05,County Stadium,Milwaukee,WI,41,6,0,0,1,22,4,7,1,39,5,1,0,1,20,7,4,1,2000,4,30,0,United States,1,1,-89.616508,44.268543,1623,22,central,8
23,23,2000-05-01,MIL,HOU,False,0,5,MIL05,County Stadium,Milwaukee,WI,45,7,3,0,1,19,8,7,0,31,1,1,0,0,19,7,3,0,2000,5,1,0,United States,-1,0,-89.616508,44.268543,1623,23,central,8
24,24,2000-05-02,CHN,HOU,False,11,1,CHI11,Wrigley Field,Chicago,IL,37,2,1,0,1,21,6,6,0,43,8,5,0,3,18,6,3,0,2000,5,2,0,United States,1,1,-88.986137,40.349457,438,24,central,8
25,25,2000-05-03,CHN,HOU,True,4,3,CHI11,Wrigley Field,Chicago,IL,40,6,1,0,1,18,10,4,0,35,5,1,0,1,20,3,4,1,2000,5,3,0,United States,1,1,-88.986137,40.349457,438,25,central,8
26,26,2000-05-04,CHN,HOU,True,2,6,CHI11,Wrigley Field,Chicago,IL,41,6,2,0,1,16,8,7,1,38,5,2,0,2,23,4,2,0,2000,5,4,0,United States,-1,0,-88.986137,40.349457,438,26,central,8
27,27,2000-05-05,LAN,HOU,False,3,2,LOS03,Dodger Stadium,Los Angeles,CA,32,2,0,0,2,22,5,1,0,37,5,3,0,1,21,3,4,0,2000,5,5,0,United States,1,1,-119.681564,36.116203,2714,27,pacific,10
28,28,2000-05-06,LAN,HOU,False,9,6,LOS03,Dodger Stadium,Los Angeles,CA,40,8,3,0,1,19,4,4,1,37,2,2,1,2,21,3,5,1,2000,5,6,0,United States,1,1,-119.681564,36.116203,2714,28,pacific,10
29,29,2000-05-07,LAN,HOU,False,8,14,LOS03,Dodger Stadium,Los Angeles,CA,59,13,1,0,3,21,9,8,4,48,9,0,0,3,25,8,3,0,2000,5,7,0,United States,-1,0,-119.681564,36.116203,2714,29,pacific,10
