,Unnamed: 0,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,distance,row_index,time_zone,time_zones_crossed
0,0,2012-04-04,MIA,SLN,False,1,4,MIA02,Marlins Park,Miami,FL,41,10,3,0,0,20,5,3,0,31,3,1,0,0,20,6,0,1,2012,4,4,0,United States,-1,0,-81.686783,27.766279,3684,0,eastern,3
1,1,2012-04-05,CIN,MIA,True,4,0,CIN09,Great American Ballpark,Cincinnati,OH,31,2,1,0,0,18,8,2,0,37,5,4,0,1,17,5,4,1,2012,4,5,0,United States,1,1,-82.764915,40.388783,1403,1,eastern,3
2,2,2012-04-07,CIN,MIA,False,3,8,CIN09,Great American Ballpark,Cincinnati,OH,43,5,3,1,3,17,9,5,0,33,3,0,1,2,21,6,0,0,2012,4,7,0,United States,-1,0,-82.764915,40.388783,1403,2,eastern,3
3,3,2012-04-08,CIN,MIA,True,6,5,CIN09,Great American Ballpark,Cincinnati,OH,38,9,1,1,0,19,7,0,1,36,5,1,0,2,18,7,3,0,2012,4,8,0,United States,1,1,-82.764915,40.388783,1403,3,eastern,3
4,4,2012-04-09,PHI,MIA,True,2,6,PHI13,Citizens Bank Park,Philadelphia,PA,35,5,3,0,3,13,11,0,0,34,5,1,0,0,19,8,1,0,2012,4,9,0,United States,-1,0,-77.209755,40.590752,471,4,eastern,3
5,5,2012-04-11,PHI,MIA,False,7,1,PHI13,Citizens Bank Park,Philadelphia,PA,33,3,2,0,0,24,3,1,0,39,11,2,0,1,20,4,1,0,2012,4,11,0,United States,1,1,-77.209755,40.590752,471,5,eastern,3
6,6,2012-04-12,PHI,MIA,False,3,1,PHI13,Citizens Bank Park,Philadelphia,PA,35,4,2,0,0,23,4,2,0,31,5,1,0,2,20,3,0,0,2012,4,12,0,United States,1,1,-77.209755,40.590752,471,6,eastern,3
7,7,2012-04-13,MIA,HOU,False,5,4,MIA02,Marlins Park,Miami,FL,46,6,0,0,1,26,7,6,0,43,10,2,0,0,22,5,4,0,2012,4,13,0,United States,1,1,-81.686783,27.766279,1480,7,eastern,3
8,8,2012-04-14,MIA,HOU,False,4,5,MIA02,Marlins Park,Miami,FL,41,6,2,0,0,19,7,7,0,34,7,1,0,0,19,6,1,0,2012,4,14,0,United States,-1,0,-81.686783,27.766279,1480,8,eastern,3
9,9,2012-04-15,MIA,HOU,True,5,4,MIA02,Marlins Park,Miami,FL,50,6,4,0,0,21,11,7,1,48,8,1,1,2,20,10,6,0,2012,4,15,0,United States,1,1,-81.686783,27.766279,1480,9,eastern,3
10,10,2012-04-17,MIA,CHN,False,5,2,MIA02,Marlins Park,Miami,FL,32,6,1,0,0,16,5,3,1,35,3,3,0,1,15,8,5,0,2012,4,17,0,United States,1,1,-81.686783,27.766279,1480,10,eastern,3
11,11,2012-04-18,MIA,CHN,False,9,1,MIA02,Marlins Park,Miami,FL,32,5,1,0,0,20,6,0,0,42,9,2,1,2,15,8,5,0,2012,4,18,0,United States,1,1,-81.686783,27.766279,1480,11,eastern,3
12,12,2012-04-19,MIA,CHN,True,5,3,MIA02,Marlins Park,Miami,FL,38,6,1,1,0,19,8,3,0,38,8,1,0,0,19,4,6,0,2012,4,19,0,United States,1,1,-81.686783,27.766279,1480,12,eastern,3
13,13,2012-04-20,WAS,MIA,False,2,0,WAS11,Nationals Park,Washington,DC,35,3,1,0,0,18,9,4,0,29,2,1,0,1,16,8,1,0,2012,4,20,0,United States,1,1,-77.026817,38.897438,1308,13,eastern,3
14,14,2012-04-21,WAS,MIA,True,3,2,WAS11,Nationals Park,Washington,DC,39,3,2,0,1,23,6,4,0,37,4,1,0,2,20,9,1,0,2012,4,21,0,United States,1,1,-77.026817,38.897438,1308,14,eastern,3
15,15,2012-04-24,NYN,MIA,False,2,1,NYC20,Citi Field,New York,NY,33,2,1,0,0,16,11,3,0,33,5,1,0,0,12,11,4,0,2012,4,24,0,United States,1,1,-74.948051,42.165726,403,15,eastern,3
16,16,2012-04-25,NYN,MIA,False,5,1,NYC20,Citi Field,New York,NY,34,4,1,0,1,18,9,1,0,34,5,2,0,1,17,6,2,1,2012,4,25,0,United States,1,1,-74.948051,42.165726,403,16,eastern,3
17,17,2012-04-26,NYN,MIA,True,3,2,NYC20,Citi Field,New York,NY,31,3,2,0,1,17,8,0,0,37,4,1,1,0,18,7,6,0,2012,4,26,0,United States,1,1,-74.948051,42.165726,403,17,eastern,3
18,18,2012-04-27,MIA,ARI,False,0,5,MIA02,Marlins Park,Miami,FL,44,13,1,0,1,20,4,4,1,29,3,0,0,0,20,4,2,0,2012,4,27,0,United States,-1,0,-81.686783,27.766279,1710,18,eastern,3
19,19,2012-04-28,MIA,ARI,False,3,2,MIA02,Marlins Park,Miami,FL,35,1,2,0,0,12,15,5,0,39,5,2,2,1,14,10,4,1,2012,4,28,0,United States,1,1,-81.686783,27.766279,1710,19,eastern,3
20,20,2012-04-29,MIA,ARI,True,4,8,MIA02,Marlins Park,Miami,FL,45,11,3,0,0,15,11,5,0,36,1,2,0,1,22,6,4,0,2012,4,29,0,United States,-1,0,-81.686783,27.766279,1710,20,eastern,3
21,21,2012-04-30,MIA,ARI,True,5,9,MIA02,Marlins Park,Miami,FL,44,7,1,0,2,23,6,4,1,40,6,2,0,2,17,9,3,1,2012,4,30,0,United States,-1,0,-81.686783,27.766279,1710,21,eastern,3
22,22,2012-05-01,SFN,MIA,False,1,2,SFO03,Oracle Park,San Francisco,CA,33,5,0,0,1,21,5,1,0,34,2,4,0,1,25,1,1,0,2012,5,1,0,United States,-1,0,-119.681564,36.116203,3684,22,pacific,6
23,23,2012-05-02,SFN,MIA,False,2,3,SFO03,Oracle Park,San Francisco,CA,44,3,1,0,1,24,5,10,0,43,9,1,0,0,22,8,3,0,2012,5,2,0,United States,-1,0,-119.681564,36.116203,3684,23,pacific,6
24,24,2012-05-03,SFN,MIA,True,2,3,SFO03,Oracle Park,San Francisco,CA,45,10,2,0,0,20,8,5,0,35,8,1,0,0,19,6,1,0,2012,5,3,0,United States,-1,0,-119.681564,36.116203,3684,24,pacific,6
25,25,2012-05-04,SDN,MIA,False,8,9,SAN02,Petco Park,San Diego,CA,53,5,2,0,2,21,14,9,0,60,8,6,1,0,24,11,9,1,2012,5,4,0,United States,-1,0,-119.681564,36.116203,3684,25,pacific,6
26,26,2012-05-05,SDN,MIA,False,1,4,SAN02,Petco Park,San Diego,CA,37,6,4,0,1,15,9,2,0,33,3,2,0,0,23,3,2,0,2012,5,5,0,United States,-1,0,-119.681564,36.116203,3684,26,pacific,6
27,27,2012-05-06,SDN,MIA,True,3,6,SAN02,Petco Park,San Diego,CA,40,6,2,1,0,19,7,5,0,36,6,1,0,0,21,6,2,0,2012,5,6,0,United States,-1,0,-119.681564,36.116203,3684,27,pacific,6
28,28,2012-05-07,HOU,MIA,False,0,4,HOU03,Minute Maid Park,Houston,TX,34,1,2,0,3,21,5,2,0,29,3,0,0,0,14,9,1,2,2012,5,7,0,United States,-1,0,-97.563461,31.054487,2123,28,central,8
