,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-03,ANA,NYA,False,2,3,ANA01,Angel Stadium of Anaheim,Anaheim,CA,35,4,0,0,2,23,3,3,0,40,8,1,0,1,19,6,5,0,2000,4,3,0,United States,-1,0,-119.681564,36.116203,pacific,0
1,2000-04-04,ANA,NYA,False,3,5,ANA01,Angel Stadium of Anaheim,Anaheim,CA,41,5,2,1,1,19,7,6,0,42,10,0,0,0,17,9,6,0,2000,4,4,0,United States,-1,0,-119.681564,36.116203,pacific,0
2,2000-04-05,ANA,NYA,False,12,6,ANA01,Angel Stadium of Anaheim,Anaheim,CA,40,8,3,0,2,22,5,0,0,44,7,4,0,1,19,4,8,1,2000,4,5,0,United States,1,1,-119.681564,36.116203,pacific,0
3,2000-04-07,ANA,BOS,False,7,3,ANA01,Angel Stadium of Anaheim,Anaheim,CA,33,1,3,0,2,21,5,1,0,38,5,2,0,2,19,5,5,0,2000,4,7,0,United States,1,1,-119.681564,36.116203,pacific,0
4,2000-04-08,ANA,BOS,False,7,5,ANA01,Angel Stadium of Anaheim,Anaheim,CA,39,6,1,0,0,17,5,10,0,37,8,4,0,1,19,4,1,0,2000,4,8,0,United States,1,1,-119.681564,36.116203,pacific,0
5,2000-04-09,ANA,BOS,True,2,5,ANA01,Angel Stadium of Anaheim,Anaheim,CA,39,4,1,0,4,20,6,4,0,35,6,0,0,1,13,14,1,0,2000,4,9,0,United States,-1,0,-119.681564,36.116203,pacific,0
6,2000-04-10,ANA,TOR,False,6,0,ANA01,Angel Stadium of Anaheim,Anaheim,CA,32,2,1,0,0,21,4,4,0,38,4,2,0,1,21,1,9,0,2000,4,10,0,United States,1,1,-119.681564,36.116203,pacific,0
7,2000-04-11,ANA,TOR,False,5,4,ANA01,Angel Stadium of Anaheim,Anaheim,CA,41,6,2,1,1,14,10,6,1,32,3,3,0,2,18,3,3,0,2000,4,11,0,United States,1,1,-119.681564,36.116203,pacific,0
8,2000-04-12,ANA,TOR,False,2,6,ANA01,Angel Stadium of Anaheim,Anaheim,CA,38,11,1,0,1,17,6,1,1,38,5,4,0,0,18,6,2,3,2000,4,12,0,United States,-1,0,-119.681564,36.116203,pacific,0
9,2000-04-14,CHA,ANA,False,9,4,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,39,6,5,0,1,17,9,1,0,38,8,2,0,2,18,5,2,1,2000,4,14,0,United States,1,1,-88.986137,40.349457,central,2
10,2000-04-15,CHA,ANA,True,1,3,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,36,5,1,1,0,16,8,5,0,36,5,1,0,1,24,3,2,0,2000,4,15,0,United States,-1,0,-88.986137,40.349457,central,2
11,2000-04-16,CHA,ANA,True,1,3,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,40,10,3,0,0,19,5,3,0,31,1,2,0,0,23,3,2,0,2000,4,16,0,United States,-1,0,-88.986137,40.349457,central,2
12,2000-04-17,TOR,ANA,False,7,1,TOR02,Rogers Centre,Toronto,ONT,35,4,4,0,0,24,1,2,0,38,4,4,0,2,18,5,3,2,2000,4,17,1,Canada,1,1,-79.347015,43.65107,eastern,3
13,2000-04-18,TOR,ANA,False,10,16,TOR02,Rogers Centre,Toronto,ONT,55,11,5,1,2,17,9,7,3,45,12,1,0,4,20,6,2,0,2000,4,18,1,Canada,-1,0,-79.347015,43.65107,eastern,3
14,2000-04-19,TOR,ANA,False,12,4,TOR02,Rogers Centre,Toronto,ONT,39,6,1,0,1,18,10,2,1,46,10,4,0,3,21,1,7,0,2000,4,19,1,Canada,1,1,-79.347015,43.65107,eastern,3
15,2000-04-20,TOR,ANA,False,12,11,TOR02,Rogers Centre,Toronto,ONT,45,14,4,0,1,19,5,2,0,42,9,3,0,2,16,5,6,1,2000,4,20,1,Canada,1,1,-79.347015,43.65107,eastern,3
16,2000-04-21,TBA,ANA,False,6,9,STP01,Tropicana Field,St. Petersburg,FL,45,3,3,0,6,22,4,6,1,42,5,3,0,0,24,3,7,0,2000,4,21,0,United States,-1,0,-81.686783,27.766279,eastern,3
17,2000-04-22,TBA,ANA,True,11,9,STP01,Tropicana Field,St. Petersburg,FL,47,8,2,0,0,27,4,4,2,44,5,2,0,5,21,7,4,0,2000,4,22,0,United States,1,1,-81.686783,27.766279,eastern,3
18,2000-04-23,TBA,ANA,True,1,0,STP01,Tropicana Field,St. Petersburg,FL,34,3,1,0,0,22,6,2,0,30,5,0,0,0,18,6,1,0,2000,4,23,0,United States,1,1,-81.686783,27.766279,eastern,3
19,2000-04-24,ANA,DET,False,10,4,ANA01,Angel Stadium of Anaheim,Anaheim,CA,43,11,1,0,1,21,5,4,0,39,8,2,0,4,21,1,3,0,2000,4,24,0,United States,1,1,-119.681564,36.116203,pacific,6
20,2000-04-25,ANA,DET,False,2,4,ANA01,Angel Stadium of Anaheim,Anaheim,CA,38,6,3,0,1,22,3,2,1,39,7,0,0,1,21,5,5,0,2000,4,25,0,United States,-1,0,-119.681564,36.116203,pacific,6
21,2000-04-26,ANA,DET,False,6,1,ANA01,Angel Stadium of Anaheim,Anaheim,CA,32,3,1,0,1,22,4,1,0,35,7,1,0,3,16,6,2,0,2000,4,26,0,United States,1,1,-119.681564,36.116203,pacific,6
22,2000-04-27,ANA,TBA,False,3,7,ANA01,Angel Stadium of Anaheim,Anaheim,CA,44,9,3,0,0,19,6,7,0,38,4,1,0,1,18,8,4,2,2000,4,27,0,United States,-1,0,-119.681564,36.116203,pacific,6
23,2000-04-28,ANA,TBA,False,2,11,ANA01,Angel Stadium of Anaheim,Anaheim,CA,51,13,4,0,2,20,6,6,0,35,3,3,0,1,22,5,1,0,2000,4,28,0,United States,-1,0,-119.681564,36.116203,pacific,6
24,2000-04-29,ANA,TBA,False,7,6,ANA01,Angel Stadium of Anaheim,Anaheim,CA,58,10,3,0,3,28,9,5,0,49,9,1,0,3,27,7,2,0,2000,4,29,0,United States,1,1,-119.681564,36.116203,pacific,6
25,2000-04-30,ANA,TBA,True,5,2,ANA01,Angel Stadium of Anaheim,Anaheim,CA,35,5,1,0,1,18,9,0,1,35,7,1,0,1,14,9,3,0,2000,4,30,0,United States,1,1,-119.681564,36.116203,pacific,6
26,2000-05-02,BAL,ANA,False,7,6,BAL12,Oriole Park at Camden Yards,Baltimore,MD,41,8,1,0,2,20,4,6,0,36,5,3,0,1,19,5,3,0,2000,5,2,0,United States,1,1,-76.802101,39.063946,eastern,9
27,2000-05-03,BAL,ANA,False,5,6,BAL12,Oriole Park at Camden Yards,Baltimore,MD,38,4,1,0,4,21,5,3,0,39,6,0,0,2,21,5,5,0,2000,5,3,0,United States,-1,0,-76.802101,39.063946,eastern,9
28,2000-05-04,BAL,ANA,True,5,8,BAL12,Oriole Park at Camden Yards,Baltimore,MD,39,6,2,1,2,15,9,4,0,39,8,0,0,1,19,7,4,0,2000,5,4,0,United States,-1,0,-76.802101,39.063946,eastern,9
29,2000-05-05,SEA,ANA,False,5,6,SEA03,Safeco Field,Seattle,WA,38,5,4,1,1,19,7,1,0,42,7,3,0,1,18,8,5,0,2000,5,5,0,United States,-1,0,-121.490494,47.400902,pacific,12
30,2000-05-06,SEA,ANA,True,1,0,SEA03,Safeco Field,Seattle,WA,33,2,0,0,0,18,6,7,0,36,6,1,0,0,18,7,3,1,2000,5,6,0,United States,1,1,-121.490494,47.400902,pacific,12
31,2000-05-07,SEA,ANA,True,8,2,SEA03,Safeco Field,Seattle,WA,38,6,1,0,0,15,11,5,0,43,5,1,0,1,20,4,12,0,2000,5,7,0,United States,1,1,-121.490494,47.400902,pacific,12
32,2000-05-08,ANA,OAK,False,9,8,ANA01,Angel Stadium of Anaheim,Anaheim,CA,43,6,1,0,3,19,10,4,0,43,11,4,0,2,17,5,4,0,2000,5,8,0,United States,1,1,-119.681564,36.116203,pacific,12
33,2000-05-09,ANA,OAK,False,2,5,ANA01,Angel Stadium of Anaheim,Anaheim,CA,44,7,0,0,2,20,6,9,0,37,6,2,0,1,23,3,2,0,2000,5,9,0,United States,-1,0,-119.681564,36.116203,pacific,12
34,2000-05-10,ANA,OAK,False,4,7,ANA01,Angel Stadium of Anaheim,Anaheim,CA,45,11,1,0,1,18,8,6,0,38,4,4,0,1,17,9,2,1,2000,5,10,0,United States,-1,0,-119.681564,36.116203,pacific,12
35,2000-05-11,ANA,TEX,False,3,2,ANA01,Angel Stadium of Anaheim,Anaheim,CA,34,5,2,0,1,20,4,2,0,34,7,1,0,2,18,5,1,0,2000,5,11,0,United States,1,1,-119.681564,36.116203,pacific,12
36,2000-05-12,ANA,TEX,False,11,13,ANA01,Angel Stadium of Anaheim,Anaheim,CA,41,6,2,2,4,23,2,2,0,45,7,2,0,5,19,7,5,0,2000,5,12,0,United States,-1,0,-119.681564,36.116203,pacific,12
37,2000-05-13,ANA,TEX,False,5,6,ANA01,Angel Stadium of Anaheim,Anaheim,CA,39,6,0,0,3,20,7,3,0,39,4,2,0,1,23,3,6,0,2000,5,13,0,United States,-1,0,-119.681564,36.116203,pacific,12
38,2000-05-14,ANA,TEX,True,7,6,ANA01,Angel Stadium of Anaheim,Anaheim,CA,39,5,2,0,1,19,7,4,1,34,1,2,0,5,18,6,2,0,2000,5,14,0,United States,1,1,-119.681564,36.116203,pacific,12
39,2000-05-16,ANA,BAL,False,3,4,ANA01,Angel Stadium of Anaheim,Anaheim,CA,38,4,1,0,2,20,6,5,0,42,7,2,0,0,23,5,5,0,2000,5,16,0,United States,-1,0,-119.681564,36.116203,pacific,12
40,2000-05-17,ANA,BAL,False,8,7,ANA01,Angel Stadium of Anaheim,Anaheim,CA,41,9,3,0,0,22,2,5,0,43,6,4,0,1,17,7,8,0,2000,5,17,0,United States,1,1,-119.681564,36.116203,pacific,12
41,2000-05-19,ANA,KCA,False,6,4,ANA01,Angel Stadium of Anaheim,Anaheim,CA,38,9,0,0,1,25,2,1,0,34,5,2,1,4,18,4,0,0,2000,5,19,0,United States,1,1,-119.681564,36.116203,pacific,12
42,2000-05-20,ANA,KCA,False,9,8,ANA01,Angel Stadium of Anaheim,Anaheim,CA,48,10,2,0,0,22,6,8,0,41,7,1,0,3,17,5,7,1,2000,5,20,0,United States,1,1,-119.681564,36.116203,pacific,12
43,2000-05-21,ANA,KCA,True,6,10,ANA01,Angel Stadium of Anaheim,Anaheim,CA,45,9,2,0,3,24,3,4,0,37,4,1,0,2,20,6,4,0,2000,5,21,0,United States,-1,0,-119.681564,36.116203,pacific,12
44,2000-05-23,MIN,ANA,False,4,7,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,45,7,3,0,2,19,8,6,0,36,3,3,0,1,20,6,3,0,2000,5,23,0,United States,-1,0,-93.900192,45.694454,central,14
45,2000-05-24,MIN,ANA,False,5,6,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,46,14,2,0,2,17,11,0,0,41,3,3,1,0,23,6,5,0,2000,5,24,0,United States,-1,0,-93.900192,45.694454,central,14
46,2000-05-25,MIN,ANA,True,1,3,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,36,7,1,0,1,17,8,2,0,34,6,1,0,0,22,3,2,0,2000,5,25,0,United States,-1,0,-93.900192,45.694454,central,14
47,2000-05-26,KCA,ANA,False,9,4,KAN06,Kauffman Stadium,Kansas City,MO,36,2,1,1,2,21,6,3,0,40,5,3,1,5,19,2,4,1,2000,5,26,0,United States,1,1,-92.288368,38.456085,central,14
48,2000-05-27,KCA,ANA,False,6,5,KAN06,Kauffman Stadium,Kansas City,MO,41,7,1,0,1,19,7,6,0,44,7,0,0,1,23,4,9,0,2000,5,27,0,United States,1,1,-92.288368,38.456085,central,14
49,2000-05-28,KCA,ANA,True,4,8,KAN06,Kauffman Stadium,Kansas City,MO,43,8,1,0,4,20,6,4,0,38,9,1,0,0,23,4,1,0,2000,5,28,0,United States,-1,0,-92.288368,38.456085,central,14
50,2000-05-29,CLE,ANA,True,2,3,CLE08,Progressive Field,Cleveland,OH,37,3,0,0,1,22,8,3,0,40,3,2,0,0,20,9,6,0,2000,5,29,0,United States,-1,0,-82.764915,40.388783,eastern,15
51,2000-05-30,CLE,ANA,False,6,1,CLE08,Progressive Field,Cleveland,OH,37,8,0,1,0,20,5,3,0,35,6,3,0,0,19,3,4,0,2000,5,30,0,United States,1,1,-82.764915,40.388783,eastern,15
52,2000-05-31,CLE,ANA,False,7,3,CLE08,Progressive Field,Cleveland,OH,44,13,0,0,1,16,10,4,0,38,4,1,0,5,17,6,4,1,2000,5,31,0,United States,1,1,-82.764915,40.388783,eastern,15
53,2000-06-02,ANA,LAN,False,12,5,ANA01,Angel Stadium of Anaheim,Anaheim,CA,40,7,1,0,3,19,6,4,0,48,11,5,0,2,16,6,7,1,2000,6,2,0,United States,1,1,-119.681564,36.116203,pacific,18
54,2000-06-03,ANA,LAN,True,3,8,ANA01,Angel Stadium of Anaheim,Anaheim,CA,42,5,2,0,2,21,6,6,0,43,10,2,0,0,17,9,4,1,2000,6,3,0,United States,-1,0,-119.681564,36.116203,pacific,18
55,2000-06-04,ANA,LAN,True,8,7,ANA01,Angel Stadium of Anaheim,Anaheim,CA,40,6,3,0,2,16,7,5,1,43,6,2,0,1,19,6,8,1,2000,6,4,0,United States,1,1,-119.681564,36.116203,pacific,18
56,2000-06-05,ANA,SFN,False,4,5,ANA01,Angel Stadium of Anaheim,Anaheim,CA,50,5,4,0,1,25,9,5,1,50,12,2,0,0,22,9,5,0,2000,6,5,0,United States,-1,0,-119.681564,36.116203,pacific,18
57,2000-06-06,ANA,SFN,False,6,5,ANA01,Angel Stadium of Anaheim,Anaheim,CA,40,5,2,0,2,23,3,4,1,39,9,0,0,1,17,6,6,0,2000,6,6,0,United States,1,1,-119.681564,36.116203,pacific,18
58,2000-06-07,ANA,SFN,False,10,9,ANA01,Angel Stadium of Anaheim,Anaheim,CA,45,11,1,0,3,20,5,5,0,38,8,1,1,3,18,5,2,0,2000,6,7,0,United States,1,1,-119.681564,36.116203,pacific,18
59,2000-06-09,ARI,ANA,False,4,1,PHO01,Chase Field,Phoenix,AZ,33,3,1,0,1,16,10,1,1,36,5,1,1,1,20,3,4,1,2000,6,9,0,United States,1,1,-111.431221,33.729759,mountain,19
60,2000-06-10,ARI,ANA,True,3,10,PHO01,Chase Field,Phoenix,AZ,44,7,3,0,3,21,6,4,0,34,3,3,0,1,20,6,1,0,2000,6,10,0,United States,-1,0,-111.431221,33.729759,mountain,19
61,2000-06-11,ARI,ANA,True,3,2,PHO01,Chase Field,Phoenix,AZ,34,4,3,0,1,17,8,1,0,33,4,0,0,2,19,4,4,0,2000,6,11,0,United States,1,1,-111.431221,33.729759,mountain,19
62,2000-06-13,TBA,ANA,False,3,5,STP01,Tropicana Field,St. Petersburg,FL,38,6,1,1,2,22,5,1,0,36,4,2,0,1,17,8,4,0,2000,6,13,0,United States,-1,0,-81.686783,27.766279,eastern,21
63,2000-06-14,TBA,ANA,False,3,2,STP01,Tropicana Field,St. Petersburg,FL,33,5,0,0,2,18,7,1,0,31,5,1,0,2,18,4,1,0,2000,6,14,0,United States,1,1,-81.686783,27.766279,eastern,21
64,2000-06-15,TBA,ANA,False,2,1,STP01,Tropicana Field,St. Petersburg,FL,32,3,3,0,0,21,3,2,0,35,3,1,0,1,19,4,7,0,2000,6,15,0,United States,1,1,-81.686783,27.766279,eastern,21
65,2000-06-16,BAL,ANA,False,4,3,BAL12,Oriole Park at Camden Yards,Baltimore,MD,38,6,3,0,0,19,7,3,0,35,4,1,0,2,16,6,6,0,2000,6,16,0,United States,1,1,-76.802101,39.063946,eastern,21
66,2000-06-17,BAL,ANA,False,3,8,BAL12,Oriole Park at Camden Yards,Baltimore,MD,38,6,0,0,3,22,5,1,1,40,6,3,0,1,18,5,7,0,2000,6,17,0,United States,-1,0,-76.802101,39.063946,eastern,21
67,2000-06-18,BAL,ANA,True,6,8,BAL12,Oriole Park at Camden Yards,Baltimore,MD,41,11,1,0,2,23,2,2,0,39,4,1,0,2,24,4,4,0,2000,6,18,0,United States,-1,0,-76.802101,39.063946,eastern,21
68,2000-06-20,ANA,KCA,False,6,8,ANA01,Angel Stadium of Anaheim,Anaheim,CA,46,16,1,0,0,24,1,4,0,37,3,0,0,2,19,5,6,2,2000,6,20,0,United States,-1,0,-119.681564,36.116203,pacific,24
69,2000-06-21,ANA,KCA,False,3,1,ANA01,Angel Stadium of Anaheim,Anaheim,CA,32,5,0,0,0,23,3,1,0,32,4,0,1,1,17,7,2,0,2000,6,21,0,United States,1,1,-119.681564,36.116203,pacific,24
70,2000-06-22,ANA,KCA,False,4,3,ANA01,Angel Stadium of Anaheim,Anaheim,CA,34,1,1,0,1,25,2,3,1,32,8,1,0,1,17,5,0,0,2000,6,22,0,United States,1,1,-119.681564,36.116203,pacific,24
71,2000-06-23,ANA,MIN,False,8,3,ANA01,Angel Stadium of Anaheim,Anaheim,CA,37,4,3,0,1,21,6,2,0,42,5,1,1,4,22,3,6,0,2000,6,23,0,United States,1,1,-119.681564,36.116203,pacific,24
72,2000-06-24,ANA,MIN,False,5,11,ANA01,Angel Stadium of Anaheim,Anaheim,CA,47,9,5,0,2,19,6,6,0,39,5,3,0,3,19,7,2,0,2000,6,24,0,United States,-1,0,-119.681564,36.116203,pacific,24
73,2000-06-25,ANA,MIN,False,7,6,ANA01,Angel Stadium of Anaheim,Anaheim,CA,47,7,4,0,0,24,5,7,0,46,6,1,0,3,25,8,2,1,2000,6,25,0,United States,1,1,-119.681564,36.116203,pacific,24
74,2000-06-26,ANA,MIN,True,6,10,ANA01,Angel Stadium of Anaheim,Anaheim,CA,45,9,1,0,3,15,11,6,0,44,6,2,2,1,26,3,3,1,2000,6,26,0,United States,-1,0,-119.681564,36.116203,pacific,24
75,2000-06-27,SEA,ANA,False,5,3,SEA03,Safeco Field,Seattle,WA,35,4,0,0,1,17,10,3,0,35,6,0,0,2,12,10,5,0,2000,6,27,0,United States,1,1,-121.490494,47.400902,pacific,24
76,2000-06-28,SEA,ANA,False,2,3,SEA03,Safeco Field,Seattle,WA,38,6,1,1,0,17,9,3,1,37,4,0,0,2,22,5,4,0,2000,6,28,0,United States,-1,0,-121.490494,47.400902,pacific,24
77,2000-06-29,SEA,ANA,True,7,2,SEA03,Safeco Field,Seattle,WA,37,6,1,0,0,16,9,5,0,37,3,1,0,4,20,3,4,2,2000,6,29,0,United States,1,1,-121.490494,47.400902,pacific,24
78,2000-06-30,ANA,OAK,False,7,0,ANA01,Angel Stadium of Anaheim,Anaheim,CA,29,3,0,0,0,21,4,1,0,38,6,3,0,3,20,3,3,0,2000,6,30,0,United States,1,1,-119.681564,36.116203,pacific,24
79,2000-07-01,ANA,OAK,False,7,2,ANA01,Angel Stadium of Anaheim,Anaheim,CA,33,0,1,0,2,20,5,5,0,41,6,1,0,1,21,3,9,0,2000,7,1,0,United States,1,1,-119.681564,36.116203,pacific,24
80,2000-07-02,ANA,OAK,False,3,10,ANA01,Angel Stadium of Anaheim,Anaheim,CA,44,8,2,0,2,16,10,5,1,38,7,1,0,0,20,7,3,0,2000,7,2,0,United States,-1,0,-119.681564,36.116203,pacific,24
81,2000-07-03,ANA,SEA,False,6,8,ANA01,Angel Stadium of Anaheim,Anaheim,CA,48,7,5,0,1,24,2,9,0,43,6,4,0,3,18,8,3,1,2000,7,3,0,United States,-1,0,-119.681564,36.116203,pacific,24
82,2000-07-04,ANA,SEA,False,7,6,ANA01,Angel Stadium of Anaheim,Anaheim,CA,38,5,2,0,1,20,7,3,0,36,2,3,0,3,16,7,5,0,2000,7,4,0,United States,1,1,-119.681564,36.116203,pacific,24
