,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-03,BAL,CLE,True,1,4,BAL12,Oriole Park at Camden Yards,Baltimore,MD,35,4,0,0,2,20,7,2,0,37,4,2,0,0,16,8,7,0,2000,4,3,0,United States,-1,0,-76.802101,39.063946,eastern,3
1,2000-04-05,BAL,CLE,False,11,7,BAL12,Oriole Park at Camden Yards,Baltimore,MD,40,8,1,0,1,21,5,4,0,40,7,2,0,3,18,4,5,1,2000,4,5,0,United States,1,1,-76.802101,39.063946,eastern,3
2,2000-04-06,BAL,CLE,False,6,2,BAL12,Oriole Park at Camden Yards,Baltimore,MD,37,5,1,0,0,21,5,5,0,36,6,2,0,2,18,5,3,0,2000,4,6,0,United States,1,1,-76.802101,39.063946,eastern,3
3,2000-04-07,BAL,DET,False,14,10,BAL12,Oriole Park at Camden Yards,Baltimore,MD,49,8,1,0,5,22,5,7,1,43,7,1,1,4,19,5,6,0,2000,4,7,0,United States,1,1,-76.802101,39.063946,eastern,3
4,2000-04-08,BAL,DET,True,2,1,BAL12,Oriole Park at Camden Yards,Baltimore,MD,41,9,1,0,0,20,7,4,0,38,7,1,0,0,22,5,3,0,2000,4,8,0,United States,1,1,-76.802101,39.063946,eastern,3
5,2000-04-09,BAL,DET,True,11,6,BAL12,Oriole Park at Camden Yards,Baltimore,MD,40,5,2,1,2,21,6,3,0,43,14,2,0,0,19,6,2,0,2000,4,9,0,United States,1,1,-76.802101,39.063946,eastern,3
6,2000-04-11,KCA,BAL,False,7,5,KAN06,Kauffman Stadium,Kansas City,MO,50,7,2,0,2,28,6,5,0,53,4,4,0,3,32,2,8,0,2000,4,11,0,United States,1,1,-92.288368,38.456085,central,4
7,2000-04-12,KCA,BAL,False,7,6,KAN06,Kauffman Stadium,Kansas City,MO,41,5,3,0,0,20,7,5,1,36,4,2,0,2,18,5,5,0,2000,4,12,0,United States,1,1,-92.288368,38.456085,central,4
8,2000-04-13,KCA,BAL,True,6,5,KAN06,Kauffman Stadium,Kansas City,MO,39,9,2,0,1,15,12,0,0,39,9,2,0,1,20,5,2,0,2000,4,13,0,United States,1,1,-92.288368,38.456085,central,4
9,2000-04-14,MIN,BAL,False,10,9,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,42,10,3,0,3,18,7,1,0,40,6,4,2,0,19,4,5,0,2000,4,14,0,United States,1,1,-93.900192,45.694454,central,4
10,2000-04-15,MIN,BAL,False,4,6,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,42,9,4,0,2,22,4,0,1,37,6,1,2,0,19,6,2,1,2000,4,15,0,United States,-1,0,-93.900192,45.694454,central,4
11,2000-04-16,MIN,BAL,True,0,5,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,36,5,1,0,2,20,8,0,0,35,4,0,0,0,23,5,2,1,2000,4,16,0,United States,-1,0,-93.900192,45.694454,central,4
12,2000-04-19,BAL,TBA,False,3,2,BAL12,Oriole Park at Camden Yards,Baltimore,MD,38,5,0,0,2,18,8,5,0,33,3,1,2,1,19,2,5,0,2000,4,19,0,United States,1,1,-76.802101,39.063946,eastern,5
13,2000-04-20,BAL,TBA,True,8,4,BAL12,Oriole Park at Camden Yards,Baltimore,MD,35,5,0,1,1,18,7,3,0,38,5,2,0,1,17,4,8,1,2000,4,20,0,United States,1,1,-76.802101,39.063946,eastern,5
14,2000-04-21,OAK,BAL,False,9,11,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,44,11,3,0,1,20,4,5,0,47,8,2,0,1,19,8,8,1,2000,4,21,0,United States,-1,0,-119.681564,36.116203,pacific,8
15,2000-04-22,OAK,BAL,True,3,4,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,40,7,2,0,1,21,4,4,1,41,8,1,0,0,24,2,6,0,2000,4,22,0,United States,-1,0,-119.681564,36.116203,pacific,8
16,2000-04-23,OAK,BAL,False,3,2,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,40,6,1,0,0,26,5,2,0,45,4,1,1,1,23,8,7,0,2000,4,23,0,United States,1,1,-119.681564,36.116203,pacific,8
17,2000-04-24,CHA,BAL,False,8,2,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,29,0,1,0,1,15,11,1,0,36,4,1,1,3,19,5,3,0,2000,4,24,0,United States,1,1,-88.986137,40.349457,central,10
18,2000-04-25,CHA,BAL,False,6,12,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,50,6,4,1,1,24,1,12,1,38,7,2,1,1,20,5,2,0,2000,4,25,0,United States,-1,0,-88.986137,40.349457,central,10
19,2000-04-26,CHA,BAL,False,11,6,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,42,7,0,0,3,24,4,4,0,40,5,1,1,3,18,7,5,0,2000,4,26,0,United States,1,1,-88.986137,40.349457,central,10
20,2000-04-27,CHA,BAL,True,13,4,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,39,4,4,0,1,22,3,3,2,44,5,4,2,2,18,5,8,0,2000,4,27,0,United States,1,1,-88.986137,40.349457,central,10
21,2000-04-28,BAL,TEX,False,4,3,BAL12,Oriole Park at Camden Yards,Baltimore,MD,37,5,3,0,1,18,7,3,0,34,4,2,0,2,19,4,3,0,2000,4,28,0,United States,1,1,-76.802101,39.063946,eastern,11
22,2000-04-29,BAL,TEX,True,3,1,BAL12,Oriole Park at Camden Yards,Baltimore,MD,35,8,1,0,0,19,6,1,0,34,2,4,0,0,20,3,4,1,2000,4,29,0,United States,1,1,-76.802101,39.063946,eastern,11
23,2000-04-30,BAL,TEX,True,4,8,BAL12,Oriole Park at Camden Yards,Baltimore,MD,43,6,6,0,2,18,9,2,0,38,5,4,0,0,21,5,3,0,2000,4,30,0,United States,-1,0,-76.802101,39.063946,eastern,11
24,2000-05-02,BAL,ANA,False,7,6,BAL12,Oriole Park at Camden Yards,Baltimore,MD,41,8,1,0,2,20,4,6,0,36,5,3,0,1,19,5,3,0,2000,5,2,0,United States,1,1,-76.802101,39.063946,eastern,11
25,2000-05-03,BAL,ANA,False,5,6,BAL12,Oriole Park at Camden Yards,Baltimore,MD,38,4,1,0,4,21,5,3,0,39,6,0,0,2,21,5,5,0,2000,5,3,0,United States,-1,0,-76.802101,39.063946,eastern,11
26,2000-05-04,BAL,ANA,True,5,8,BAL12,Oriole Park at Camden Yards,Baltimore,MD,39,6,2,1,2,15,9,4,0,39,8,0,0,1,19,7,4,0,2000,5,4,0,United States,-1,0,-76.802101,39.063946,eastern,11
27,2000-05-05,NYA,BAL,False,12,10,NYC16,Yankee Stadium I,New York,NY,44,7,4,0,3,20,6,4,0,42,11,2,0,3,21,2,2,1,2000,5,5,0,United States,1,1,-74.948051,42.165726,eastern,11
28,2000-05-06,NYA,BAL,True,3,1,NYC16,Yankee Stadium I,New York,NY,35,3,3,0,0,20,6,3,0,34,1,5,0,0,19,5,4,0,2000,5,6,0,United States,1,1,-74.948051,42.165726,eastern,11
29,2000-05-07,NYA,BAL,True,6,7,NYC16,Yankee Stadium I,New York,NY,41,8,2,0,2,23,4,2,0,44,5,3,1,1,21,5,8,0,2000,5,7,0,United States,-1,0,-74.948051,42.165726,eastern,11
30,2000-05-08,TOR,BAL,False,6,5,TOR02,Rogers Centre,Toronto,ONT,45,10,4,0,0,19,7,5,0,37,9,1,0,2,17,4,3,1,2000,5,8,1,Canada,1,1,-79.347015,43.65107,eastern,11
31,2000-05-09,TOR,BAL,False,6,4,TOR02,Rogers Centre,Toronto,ONT,34,7,3,0,0,22,2,0,0,37,8,0,0,4,18,7,0,0,2000,5,9,1,Canada,1,1,-79.347015,43.65107,eastern,11
32,2000-05-10,TOR,BAL,False,7,2,TOR02,Rogers Centre,Toronto,ONT,34,2,2,0,1,19,9,1,0,37,11,1,1,1,16,6,1,0,2000,5,10,1,Canada,1,1,-79.347015,43.65107,eastern,11
33,2000-05-11,BAL,BOS,False,4,11,BAL12,Oriole Park at Camden Yards,Baltimore,MD,51,11,4,0,1,20,7,8,0,38,1,5,0,2,19,7,4,0,2000,5,11,0,United States,-1,0,-76.802101,39.063946,eastern,11
34,2000-05-12,BAL,BOS,False,0,9,BAL12,Oriole Park at Camden Yards,Baltimore,MD,43,12,2,0,2,21,4,2,0,29,2,0,0,0,12,15,0,0,2000,5,12,0,United States,-1,0,-76.802101,39.063946,eastern,11
35,2000-05-13,BAL,BOS,True,1,5,BAL12,Oriole Park at Camden Yards,Baltimore,MD,40,3,0,0,3,21,6,6,1,36,9,1,0,1,19,5,1,0,2000,5,13,0,United States,-1,0,-76.802101,39.063946,eastern,11
36,2000-05-14,BAL,BOS,True,1,10,BAL12,Oriole Park at Camden Yards,Baltimore,MD,45,6,3,1,2,21,5,7,0,36,5,1,0,0,25,1,4,0,2000,5,14,0,United States,-1,0,-76.802101,39.063946,eastern,11
37,2000-05-16,ANA,BAL,False,3,4,ANA01,Angel Stadium of Anaheim,Anaheim,CA,38,4,1,0,2,20,6,5,0,42,7,2,0,0,23,5,5,0,2000,5,16,0,United States,-1,0,-119.681564,36.116203,pacific,14
38,2000-05-17,ANA,BAL,False,8,7,ANA01,Angel Stadium of Anaheim,Anaheim,CA,41,9,3,0,0,22,2,5,0,43,6,4,0,1,17,7,8,0,2000,5,17,0,United States,1,1,-119.681564,36.116203,pacific,14
39,2000-05-18,TEX,BAL,False,8,7,ARL02,Rangers Ballpark in Arlington,Arlington,TX,43,4,5,0,2,23,4,5,0,40,7,5,0,1,19,4,4,0,2000,5,18,0,United States,1,1,-97.563461,31.054487,central,16
40,2000-05-20,TEX,BAL,False,2,1,ARL02,Rangers Ballpark in Arlington,Arlington,TX,33,4,3,0,0,20,4,2,0,28,4,1,0,1,18,4,0,0,2000,5,20,0,United States,1,1,-97.563461,31.054487,central,16
41,2000-05-21,TEX,BAL,False,6,5,ARL02,Rangers Ballpark in Arlington,Arlington,TX,42,8,5,0,1,17,7,4,0,36,5,0,0,2,20,2,7,0,2000,5,21,0,United States,1,1,-97.563461,31.054487,central,16
42,2000-05-23,BAL,SEA,False,4,2,BAL12,Oriole Park at Camden Yards,Baltimore,MD,38,7,0,0,1,21,5,4,0,33,3,0,0,3,21,3,3,0,2000,5,23,0,United States,1,1,-76.802101,39.063946,eastern,17
43,2000-05-24,BAL,SEA,False,4,3,BAL12,Oriole Park at Camden Yards,Baltimore,MD,35,5,1,0,1,17,8,3,0,35,7,1,0,0,20,3,3,1,2000,5,24,0,United States,1,1,-76.802101,39.063946,eastern,17
44,2000-05-25,BAL,SEA,False,5,1,BAL12,Oriole Park at Camden Yards,Baltimore,MD,37,5,0,0,0,18,9,5,0,37,6,3,0,0,18,5,4,1,2000,5,25,0,United States,1,1,-76.802101,39.063946,eastern,17
45,2000-05-26,BAL,OAK,False,8,3,BAL12,Oriole Park at Camden Yards,Baltimore,MD,36,4,1,0,1,19,8,3,0,42,7,2,0,4,16,7,6,0,2000,5,26,0,United States,1,1,-76.802101,39.063946,eastern,17
46,2000-05-27,BAL,OAK,False,0,4,BAL12,Oriole Park at Camden Yards,Baltimore,MD,43,6,4,1,0,22,5,5,0,33,2,0,0,0,20,6,5,0,2000,5,27,0,United States,-1,0,-76.802101,39.063946,eastern,17
