,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-03,CIN,MIL,True,3,3,CIN08,Cinergy Field,Cincinnati,OH,27,6,1,0,0,14,1,5,0,20,3,1,0,1,10,4,1,0,2000,4,3,0,United States,0,0,-82.764915,40.388783,eastern,3
1,2000-04-04,CIN,MIL,False,1,5,CIN08,Cinergy Field,Cincinnati,OH,42,6,1,1,2,20,6,5,1,32,2,1,0,1,22,5,1,0,2000,4,4,0,United States,-1,0,-82.764915,40.388783,eastern,3
2,2000-04-05,CIN,MIL,False,5,8,CIN08,Cinergy Field,Cincinnati,OH,37,5,1,1,3,18,6,3,0,43,8,4,0,1,22,5,2,1,2000,4,5,0,United States,-1,0,-82.764915,40.388783,eastern,3
3,2000-04-06,CIN,MIL,False,5,1,CIN08,Cinergy Field,Cincinnati,OH,36,4,4,0,0,19,7,2,0,32,3,2,0,2,15,7,3,0,2000,4,6,0,United States,1,1,-82.764915,40.388783,eastern,3
4,2000-04-07,CIN,CHN,False,6,10,CIN08,Cinergy Field,Cincinnati,OH,41,3,2,0,3,16,13,4,0,40,5,1,0,2,22,5,5,0,2000,4,7,0,United States,-1,0,-82.764915,40.388783,eastern,3
5,2000-04-08,CIN,CHN,True,4,3,CIN08,Cinergy Field,Cincinnati,OH,41,2,2,0,0,20,13,4,0,46,8,1,0,2,19,11,4,1,2000,4,8,0,United States,1,1,-82.764915,40.388783,eastern,3
6,2000-04-09,CIN,CHN,True,8,7,CIN08,Cinergy Field,Cincinnati,OH,55,6,4,0,3,23,9,10,0,51,4,3,0,2,26,7,9,0,2000,4,9,0,United States,1,1,-82.764915,40.388783,eastern,3
7,2000-04-10,COL,CIN,True,7,5,DEN02,Coors Field,Denver,CO,37,7,1,0,2,19,6,1,1,41,6,4,1,2,16,7,5,0,2000,4,10,0,United States,1,1,-105.311104,39.059811,mountain,5
8,2000-04-11,COL,CIN,False,3,10,DEN02,Coors Field,Denver,CO,42,8,3,0,3,20,7,1,0,35,3,3,0,0,20,5,4,0,2000,4,11,0,United States,-1,0,-105.311104,39.059811,mountain,5
9,2000-04-12,COL,CIN,True,7,5,DEN02,Coors Field,Denver,CO,41,7,1,1,0,23,3,6,0,37,8,1,0,0,18,6,4,0,2000,4,12,0,United States,1,1,-105.311104,39.059811,mountain,5
