,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-03,BAL,CLE,True,1,4,BAL12,Oriole Park at Camden Yards,Baltimore,MD,35,4,0,0,2,20,7,2,0,37,4,2,0,0,16,8,7,0,2000,4,3,0,United States,-1,0,-76.802101,39.063946,eastern,3
1,2000-04-05,BAL,CLE,False,11,7,BAL12,Oriole Park at Camden Yards,Baltimore,MD,40,8,1,0,1,21,5,4,0,40,7,2,0,3,18,4,5,1,2000,4,5,0,United States,1,1,-76.802101,39.063946,eastern,3
2,2000-04-06,BAL,CLE,False,6,2,BAL12,Oriole Park at Camden Yards,Baltimore,MD,37,5,1,0,0,21,5,5,0,36,6,2,0,2,18,5,3,0,2000,4,6,0,United States,1,1,-76.802101,39.063946,eastern,3
3,2000-04-07,TBA,CLE,False,5,14,STP01,Tropicana Field,St. Petersburg,FL,49,9,3,0,3,20,7,6,1,45,6,3,0,1,23,4,7,1,2000,4,7,0,United States,-1,0,-81.686783,27.766279,eastern,3
4,2000-04-08,TBA,CLE,True,4,6,STP01,Tropicana Field,St. Petersburg,FL,41,5,4,0,2,14,11,5,0,38,4,4,0,2,16,10,2,0,2000,4,8,0,United States,-1,0,-81.686783,27.766279,eastern,3
5,2000-04-09,TBA,CLE,False,4,17,STP01,Tropicana Field,St. Petersburg,FL,50,7,4,2,3,17,12,4,1,42,9,2,0,0,14,11,6,0,2000,4,9,0,United States,-1,0,-81.686783,27.766279,eastern,3
6,2000-04-10,OAK,CLE,False,4,9,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,53,10,3,1,0,24,3,10,2,37,6,1,0,1,10,16,3,0,2000,4,10,0,United States,-1,0,-119.681564,36.116203,pacific,6
7,2000-04-11,OAK,CLE,False,1,5,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,40,4,2,0,1,19,7,6,1,34,2,1,0,1,18,8,4,0,2000,4,11,0,United States,-1,0,-119.681564,36.116203,pacific,6
8,2000-04-12,OAK,CLE,True,0,5,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,34,4,3,0,1,17,7,2,0,31,5,0,0,0,18,6,2,0,2000,4,12,0,United States,-1,0,-119.681564,36.116203,pacific,6
9,2000-04-14,CLE,TEX,True,2,7,CLE08,Progressive Field,Cleveland,OH,43,7,4,0,3,19,7,3,0,33,3,0,0,1,16,10,2,1,2000,4,14,0,United States,-1,0,-82.764915,40.388783,eastern,9
10,2000-04-15,CLE,TEX,True,4,6,CLE08,Progressive Field,Cleveland,OH,43,8,2,1,0,19,8,5,0,36,3,2,0,1,19,8,3,0,2000,4,15,0,United States,-1,0,-82.764915,40.388783,eastern,9
11,2000-04-16,CLE,TEX,True,2,1,CLE08,Progressive Field,Cleveland,OH,35,5,0,0,0,13,13,4,0,32,1,1,0,2,14,11,3,0,2000,4,16,0,United States,1,1,-82.764915,40.388783,eastern,9
12,2000-04-18,CLE,OAK,False,5,8,CLE08,Progressive Field,Cleveland,OH,44,5,2,1,1,17,10,8,0,38,6,1,0,2,19,6,3,1,2000,4,18,0,United States,-1,0,-82.764915,40.388783,eastern,9
13,2000-04-19,CLE,OAK,False,5,10,CLE08,Progressive Field,Cleveland,OH,47,5,2,1,4,22,4,8,1,43,9,1,0,2,19,6,6,0,2000,4,19,0,United States,-1,0,-82.764915,40.388783,eastern,9
14,2000-04-20,CLE,OAK,False,9,5,CLE08,Progressive Field,Cleveland,OH,45,11,3,0,1,11,15,4,0,40,7,4,0,3,18,5,3,0,2000,4,20,0,United States,1,1,-82.764915,40.388783,eastern,9
15,2000-04-24,SEA,CLE,False,0,6,SEA03,Safeco Field,Seattle,WA,37,7,1,0,1,22,2,4,0,33,2,0,0,0,13,11,7,0,2000,4,24,0,United States,-1,0,-121.490494,47.400902,pacific,12
16,2000-04-25,SEA,CLE,False,8,5,SEA03,Safeco Field,Seattle,WA,41,8,3,0,0,14,11,5,0,39,5,1,1,2,18,7,5,0,2000,4,25,0,United States,1,1,-121.490494,47.400902,pacific,12
17,2000-04-26,SEA,CLE,True,3,5,SEA03,Safeco Field,Seattle,WA,48,10,2,0,1,24,5,6,0,38,4,0,0,1,21,6,5,1,2000,4,26,0,United States,-1,0,-121.490494,47.400902,pacific,12
18,2000-04-28,CLE,BOS,False,4,3,CLE08,Progressive Field,Cleveland,OH,38,6,1,0,0,21,5,5,0,33,6,1,0,1,19,4,2,0,2000,4,28,0,United States,1,1,-82.764915,40.388783,eastern,15
19,2000-04-29,CLE,BOS,True,3,2,CLE08,Progressive Field,Cleveland,OH,34,2,2,0,1,18,8,3,0,32,4,1,0,0,19,6,2,0,2000,4,29,0,United States,1,1,-82.764915,40.388783,eastern,15
20,2000-04-30,CLE,BOS,True,1,2,CLE08,Progressive Field,Cleveland,OH,36,5,1,0,1,20,7,1,1,39,3,2,0,1,16,11,5,1,2000,4,30,0,United States,-1,0,-82.764915,40.388783,eastern,15
21,2000-05-01,CLE,NYA,False,1,2,CLE08,Progressive Field,Cleveland,OH,35,5,3,0,0,18,5,4,0,35,5,1,0,1,19,6,3,0,2000,5,1,0,United States,-1,0,-82.764915,40.388783,eastern,15
22,2000-05-02,CLE,NYA,False,2,4,CLE08,Progressive Field,Cleveland,OH,36,6,2,0,2,17,7,2,0,36,6,0,0,0,22,6,2,0,2000,5,2,0,United States,-1,0,-82.764915,40.388783,eastern,15
23,2000-05-03,CLE,NYA,False,5,6,CLE08,Progressive Field,Cleveland,OH,39,4,2,2,1,17,10,3,0,42,7,3,0,0,19,8,5,0,2000,5,3,0,United States,-1,0,-82.764915,40.388783,eastern,15
24,2000-05-04,TOR,CLE,False,8,1,TOR02,Rogers Centre,Toronto,ONT,37,6,0,1,0,21,6,3,0,40,7,2,0,1,14,9,7,0,2000,5,4,1,Canada,1,1,-79.347015,43.65107,eastern,15
25,2000-05-05,TOR,CLE,False,11,10,TOR02,Rogers Centre,Toronto,ONT,52,11,7,0,2,19,6,7,0,43,7,1,0,5,14,13,3,0,2000,5,5,1,Canada,1,1,-79.347015,43.65107,eastern,15
26,2000-05-06,TOR,CLE,True,6,8,TOR02,Rogers Centre,Toronto,ONT,43,8,3,0,0,16,8,7,1,39,5,3,0,2,18,6,5,0,2000,5,6,1,Canada,-1,0,-79.347015,43.65107,eastern,15
27,2000-05-07,TOR,CLE,True,8,10,TOR02,Rogers Centre,Toronto,ONT,54,9,4,0,1,27,7,6,0,56,11,3,0,2,24,11,5,0,2000,5,7,1,Canada,-1,0,-79.347015,43.65107,eastern,15
28,2000-05-08,MIN,CLE,False,2,3,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,41,7,2,0,1,15,14,2,0,43,9,0,0,0,17,13,4,0,2000,5,8,0,United States,-1,0,-93.900192,45.694454,central,16
29,2000-05-09,MIN,CLE,False,6,5,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,43,9,2,0,2,20,6,4,0,34,3,2,0,1,16,9,3,0,2000,5,9,0,United States,1,1,-93.900192,45.694454,central,16
30,2000-05-10,MIN,CLE,False,10,9,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,40,9,2,0,3,22,4,0,0,42,8,3,0,2,19,6,4,0,2000,5,10,0,United States,1,1,-93.900192,45.694454,central,16
31,2000-05-11,CLE,KCA,False,16,0,CLE08,Progressive Field,Cleveland,OH,33,5,0,0,0,21,5,2,0,47,16,2,0,4,16,6,3,0,2000,5,11,0,United States,1,1,-82.764915,40.388783,eastern,17
32,2000-05-12,CLE,KCA,False,7,3,CLE08,Progressive Field,Cleveland,OH,37,4,1,0,0,16,11,3,2,34,4,3,0,2,15,6,3,1,2000,5,12,0,United States,1,1,-82.764915,40.388783,eastern,17
33,2000-05-13,CLE,KCA,True,7,6,CLE08,Progressive Field,Cleveland,OH,50,5,4,0,0,21,14,6,0,51,9,2,0,1,21,12,6,0,2000,5,13,0,United States,1,1,-82.764915,40.388783,eastern,17
34,2000-05-14,CLE,KCA,True,4,5,CLE08,Progressive Field,Cleveland,OH,41,3,4,0,1,18,8,7,0,35,5,0,0,2,17,10,1,0,2000,5,14,0,United States,-1,0,-82.764915,40.388783,eastern,17
35,2000-05-16,CLE,DET,False,11,9,CLE08,Progressive Field,Cleveland,OH,45,7,2,1,5,23,4,3,0,43,9,1,2,2,16,8,5,0,2000,5,16,0,United States,1,1,-82.764915,40.388783,eastern,17
36,2000-05-17,CLE,DET,False,7,2,CLE08,Progressive Field,Cleveland,OH,35,5,0,0,1,14,13,2,0,39,7,4,1,4,20,0,3,0,2000,5,17,0,United States,1,1,-82.764915,40.388783,eastern,17
37,2000-05-19,CLE,NYA,False,7,11,CLE08,Progressive Field,Cleveland,OH,48,9,3,0,2,18,8,8,0,45,5,2,0,2,19,10,7,0,2000,5,19,0,United States,-1,0,-82.764915,40.388783,eastern,17
38,2000-05-20,CLE,NYA,True,3,2,CLE08,Progressive Field,Cleveland,OH,40,6,3,0,0,16,10,5,0,39,5,1,0,1,16,7,9,0,2000,5,20,0,United States,1,1,-82.764915,40.388783,eastern,17
39,2000-05-21,CLE,NYA,True,6,1,CLE08,Progressive Field,Cleveland,OH,32,3,1,0,0,21,3,4,0,39,6,2,0,3,16,7,4,1,2000,5,21,0,United States,1,1,-82.764915,40.388783,eastern,17
40,2000-05-23,DET,CLE,False,10,4,DET05,Comerica Park,Detroit,MI,40,8,2,0,1,19,6,4,0,43,12,2,0,2,15,7,5,0,2000,5,23,0,United States,1,1,-84.536095,43.326618,eastern,17
41,2000-05-24,DET,CLE,False,10,9,DET05,Comerica Park,Detroit,MI,46,9,3,0,4,18,8,3,1,44,8,4,0,0,21,3,7,1,2000,5,24,0,United States,1,1,-84.536095,43.326618,eastern,17
42,2000-05-25,DET,CLE,False,1,4,DET05,Comerica Park,Detroit,MI,35,4,2,1,2,21,3,1,1,35,5,0,0,0,17,8,5,0,2000,5,25,0,United States,-1,0,-84.536095,43.326618,eastern,17
43,2000-05-26,CHA,CLE,False,5,3,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,36,4,2,0,2,19,8,1,0,31,3,1,1,1,14,8,3,0,2000,5,26,0,United States,1,1,-88.986137,40.349457,central,18
44,2000-05-27,CHA,CLE,False,14,3,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,39,7,1,0,1,19,8,3,0,46,7,6,1,2,17,7,5,1,2000,5,27,0,United States,1,1,-88.986137,40.349457,central,18
45,2000-05-28,CHA,CLE,True,3,12,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,48,8,5,0,2,22,6,5,0,40,3,3,0,1,14,13,6,0,2000,5,28,0,United States,-1,0,-88.986137,40.349457,central,18
46,2000-05-29,CLE,ANA,True,2,3,CLE08,Progressive Field,Cleveland,OH,37,3,0,0,1,22,8,3,0,40,3,2,0,0,20,9,6,0,2000,5,29,0,United States,-1,0,-82.764915,40.388783,eastern,19
47,2000-05-30,CLE,ANA,False,6,1,CLE08,Progressive Field,Cleveland,OH,37,8,0,1,0,20,5,3,0,35,6,3,0,0,19,3,4,0,2000,5,30,0,United States,1,1,-82.764915,40.388783,eastern,19
