,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-03,ATL,COL,True,2,0,ATL02,Turner Field,Atlanta,GA,34,4,2,0,0,19,7,2,0,32,5,0,0,2,17,6,1,1,2000,4,3,0,United States,1,1,-83.643074,33.040619,eastern,3
1,2000-04-04,ATL,COL,False,3,5,ATL02,Turner Field,Atlanta,GA,42,6,4,1,0,20,6,5,0,38,3,2,0,1,23,4,4,1,2000,4,4,0,United States,-1,0,-83.643074,33.040619,eastern,3
2,2000-04-05,ATL,COL,False,9,6,ATL02,Turner Field,Atlanta,GA,38,6,0,1,2,24,4,1,0,43,10,1,0,1,20,4,5,2,2000,4,5,0,United States,1,1,-83.643074,33.040619,eastern,3
3,2000-04-07,FLO,COL,False,4,3,MIA01,Sun Life Stadium,Miami,FL,34,4,1,0,2,18,6,3,0,32,1,2,2,0,15,7,5,0,2000,4,7,0,United States,1,1,-81.686783,27.766279,eastern,3
4,2000-04-08,FLO,COL,False,2,4,MIA01,Sun Life Stadium,Miami,FL,37,8,1,1,0,22,3,2,0,39,7,1,0,1,18,8,4,0,2000,4,8,0,United States,-1,0,-81.686783,27.766279,eastern,3
5,2000-04-09,FLO,COL,True,7,6,MIA01,Sun Life Stadium,Miami,FL,43,8,1,0,1,18,9,6,0,36,4,3,0,2,11,12,4,0,2000,4,9,0,United States,1,1,-81.686783,27.766279,eastern,3
6,2000-04-10,COL,CIN,True,7,5,DEN02,Coors Field,Denver,CO,37,7,1,0,2,19,6,1,1,41,6,4,1,2,16,7,5,0,2000,4,10,0,United States,1,1,-105.311104,39.059811,mountain,5
7,2000-04-11,COL,CIN,False,3,10,DEN02,Coors Field,Denver,CO,42,8,3,0,3,20,7,1,0,35,3,3,0,0,20,5,4,0,2000,4,11,0,United States,-1,0,-105.311104,39.059811,mountain,5
8,2000-04-12,COL,CIN,True,7,5,DEN02,Coors Field,Denver,CO,41,7,1,1,0,23,3,6,0,37,8,1,0,0,18,6,4,0,2000,4,12,0,United States,1,1,-105.311104,39.059811,mountain,5
9,2000-04-13,COL,SLN,False,12,6,DEN02,Coors Field,Denver,CO,41,6,2,0,3,18,8,3,1,46,9,1,1,3,21,4,4,3,2000,4,13,0,United States,1,1,-105.311104,39.059811,mountain,5
