,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-03,TOR,KCA,True,5,4,TOR02,Rogers Centre,Toronto,ONT,37,7,2,0,0,18,9,1,0,33,3,1,0,4,20,5,0,0,2000,4,3,1,Canada,1,1,-79.347015,43.65107,eastern,3
1,2000-04-04,TOR,KCA,False,6,3,TOR02,Rogers Centre,Toronto,ONT,35,4,2,0,1,22,3,1,2,37,2,3,0,2,20,4,4,2,2000,4,4,1,Canada,1,1,-79.347015,43.65107,eastern,3
2,2000-04-05,TOR,KCA,False,3,4,TOR02,Rogers Centre,Toronto,ONT,37,4,0,0,3,22,4,4,0,36,3,1,0,1,20,5,5,1,2000,4,5,1,Canada,-1,0,-79.347015,43.65107,eastern,3
3,2000-04-06,TOR,KCA,True,3,9,TOR02,Rogers Centre,Toronto,ONT,49,14,3,0,0,17,8,7,0,34,1,2,0,2,25,2,1,1,2000,4,6,1,Canada,-1,0,-79.347015,43.65107,eastern,3
4,2000-04-07,KCA,MIN,True,10,6,KAN06,Kauffman Stadium,Kansas City,MO,42,9,1,1,1,19,7,4,0,44,8,3,0,4,20,5,4,0,2000,4,7,0,United States,1,1,-92.288368,38.456085,central,4
5,2000-04-08,KCA,MIN,True,5,2,KAN06,Kauffman Stadium,Kansas City,MO,37,3,1,1,1,20,8,3,0,33,7,2,1,0,22,1,0,0,2000,4,8,0,United States,1,1,-92.288368,38.456085,central,4
6,2000-04-09,KCA,MIN,True,7,13,KAN06,Kauffman Stadium,Kansas City,MO,43,5,5,0,6,20,5,2,0,39,5,1,0,3,24,4,2,0,2000,4,9,0,United States,-1,0,-92.288368,38.456085,central,4
7,2000-04-10,KCA,MIN,True,6,5,KAN06,Kauffman Stadium,Kansas City,MO,38,3,4,0,1,22,5,3,0,37,7,6,0,1,17,4,2,0,2000,4,10,0,United States,1,1,-92.288368,38.456085,central,4
8,2000-04-11,KCA,BAL,False,7,5,KAN06,Kauffman Stadium,Kansas City,MO,50,7,2,0,2,28,6,5,0,53,4,4,0,3,32,2,8,0,2000,4,11,0,United States,1,1,-92.288368,38.456085,central,4
9,2000-04-12,KCA,BAL,False,7,6,KAN06,Kauffman Stadium,Kansas City,MO,41,5,3,0,0,20,7,5,1,36,4,2,0,2,18,5,5,0,2000,4,12,0,United States,1,1,-92.288368,38.456085,central,4
10,2000-04-13,KCA,BAL,True,6,5,KAN06,Kauffman Stadium,Kansas City,MO,39,9,2,0,1,15,12,0,0,39,9,2,0,1,20,5,2,0,2000,4,13,0,United States,1,1,-92.288368,38.456085,central,4
11,2000-04-14,NYA,KCA,False,7,5,NYC16,Yankee Stadium I,New York,NY,41,6,2,0,1,19,7,5,1,43,6,3,0,1,14,8,11,0,2000,4,14,0,United States,1,1,-74.948051,42.165726,eastern,5
12,2000-04-15,NYA,KCA,True,7,1,NYC16,Yankee Stadium I,New York,NY,29,1,1,0,0,22,5,0,0,38,8,0,0,3,15,8,0,4,2000,4,15,0,United States,1,1,-74.948051,42.165726,eastern,5
13,2000-04-16,NYA,KCA,True,8,4,NYC16,Yankee Stadium I,New York,NY,39,7,1,0,1,20,6,4,0,40,7,2,0,1,16,7,6,1,2000,4,16,0,United States,1,1,-74.948051,42.165726,eastern,5
14,2000-04-18,MIN,KCA,False,3,1,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,34,4,1,1,0,21,5,2,0,33,6,1,0,0,18,6,2,0,2000,4,18,0,United States,1,1,-93.900192,45.694454,central,6
15,2000-04-19,MIN,KCA,False,7,6,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,37,6,1,0,3,23,4,0,0,42,5,2,1,1,19,6,8,0,2000,4,19,0,United States,1,1,-93.900192,45.694454,central,6
16,2000-04-20,MIN,KCA,True,9,7,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,40,8,2,0,2,18,7,2,1,39,3,6,0,4,15,8,3,0,2000,4,20,0,United States,1,1,-93.900192,45.694454,central,6
17,2000-04-21,SEA,KCA,False,10,2,SEA03,Safeco Field,Seattle,WA,40,7,1,0,0,20,8,4,0,42,4,5,0,1,20,5,7,0,2000,4,21,0,United States,1,1,-121.490494,47.400902,pacific,8
18,2000-04-22,SEA,KCA,True,4,2,SEA03,Safeco Field,Seattle,WA,32,4,0,0,2,17,8,1,0,33,3,3,0,1,16,9,1,0,2000,4,22,0,United States,1,1,-121.490494,47.400902,pacific,8
19,2000-04-23,SEA,KCA,True,8,5,SEA03,Safeco Field,Seattle,WA,42,6,3,0,1,22,5,4,1,40,3,2,0,2,18,5,10,0,2000,4,23,0,United States,1,1,-121.490494,47.400902,pacific,8
20,2000-04-25,KCA,TBA,False,7,6,KAN06,Kauffman Stadium,Kansas City,MO,42,8,1,0,1,19,7,6,0,43,8,3,0,2,22,3,5,0,2000,4,25,0,United States,1,1,-92.288368,38.456085,central,10
21,2000-04-26,KCA,TBA,False,7,6,KAN06,Kauffman Stadium,Kansas City,MO,41,7,0,0,1,23,4,5,1,43,9,1,0,2,19,6,4,2,2000,4,26,0,United States,1,1,-92.288368,38.456085,central,10
