,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-03,MON,LAN,False,4,10,MON02,Stade Olympique,Montreal,QUE,43,6,0,1,2,26,4,4,0,38,7,0,0,2,19,8,2,0,2000,4,3,1,Canada,-1,0,-79.347015,43.65107,eastern,3
1,2000-04-04,MON,LAN,False,4,10,MON02,Stade Olympique,Montreal,QUE,47,12,3,0,2,15,12,2,1,37,3,3,0,0,20,5,5,1,2000,4,4,1,Canada,-1,0,-79.347015,43.65107,eastern,3
2,2000-04-05,MON,LAN,False,6,5,MON02,Stade Olympique,Montreal,QUE,41,7,2,1,2,20,6,3,0,39,8,2,0,0,19,5,4,1,2000,4,5,1,Canada,1,1,-79.347015,43.65107,eastern,3
3,2000-04-06,MON,LAN,False,11,3,MON02,Stade Olympique,Montreal,QUE,35,3,3,0,0,21,5,1,2,42,7,4,0,3,19,5,3,1,2000,4,6,1,Canada,1,1,-79.347015,43.65107,eastern,3
4,2000-04-07,NYN,LAN,False,2,1,NYC17,Shea Stadium,New York,NY,33,2,1,0,1,20,7,2,0,34,1,1,0,0,17,6,8,1,2000,4,7,0,United States,1,1,-74.948051,42.165726,eastern,3
5,2000-04-08,NYN,LAN,True,5,6,NYC17,Shea Stadium,New York,NY,42,4,1,0,4,20,8,5,0,46,7,2,0,2,21,10,4,0,2000,4,8,0,United States,-1,0,-74.948051,42.165726,eastern,3
6,2000-04-11,SFN,LAN,True,5,6,SFO03,Oracle Park,San Francisco,CA,41,7,2,0,3,18,7,4,0,36,2,2,1,3,22,4,2,0,2000,4,11,0,United States,-1,0,-119.681564,36.116203,pacific,6
7,2000-04-12,SFN,LAN,False,5,6,SFO03,Oracle Park,San Francisco,CA,42,6,2,0,0,19,7,7,1,40,5,1,0,1,25,3,5,0,2000,4,12,0,United States,-1,0,-119.681564,36.116203,pacific,6
8,2000-04-13,SFN,LAN,False,7,11,SFO03,Oracle Park,San Francisco,CA,44,10,2,0,1,22,6,2,1,41,7,0,0,4,23,4,2,1,2000,4,13,0,United States,-1,0,-119.681564,36.116203,pacific,6
9,2000-04-14,LAN,CIN,True,8,1,LOS03,Dodger Stadium,Los Angeles,CA,38,7,1,0,1,19,6,3,1,38,6,2,0,1,16,8,4,1,2000,4,14,0,United States,1,1,-119.681564,36.116203,pacific,6
10,2000-04-15,LAN,CIN,False,4,5,LOS03,Dodger Stadium,Los Angeles,CA,41,4,3,0,1,17,8,8,0,41,4,2,0,1,19,8,7,0,2000,4,15,0,United States,-1,0,-119.681564,36.116203,pacific,6
11,2000-04-16,LAN,CIN,True,3,5,LOS03,Dodger Stadium,Los Angeles,CA,41,3,2,0,2,22,6,5,1,40,1,2,1,2,22,4,7,1,2000,4,16,0,United States,-1,0,-119.681564,36.116203,pacific,6
12,2000-04-18,LAN,HOU,False,5,3,LOS03,Dodger Stadium,Los Angeles,CA,35,3,1,0,1,16,9,4,1,35,3,2,0,3,11,13,2,1,2000,4,18,0,United States,1,1,-119.681564,36.116203,pacific,6
13,2000-04-19,LAN,HOU,False,3,10,LOS03,Dodger Stadium,Los Angeles,CA,50,12,2,0,0,24,3,4,5,38,4,1,0,2,19,8,4,0,2000,4,19,0,United States,-1,0,-119.681564,36.116203,pacific,6
14,2000-04-21,CIN,LAN,False,2,9,CIN08,Cinergy Field,Cincinnati,OH,46,8,1,0,2,23,5,7,0,41,7,3,0,0,17,10,4,0,2000,4,21,0,United States,-1,0,-82.764915,40.388783,eastern,9
15,2000-04-22,CIN,LAN,True,2,16,CIN08,Cinergy Field,Cincinnati,OH,49,5,5,1,4,18,8,8,0,35,4,0,0,1,19,6,4,1,2000,4,22,0,United States,-1,0,-82.764915,40.388783,eastern,9
16,2000-04-23,CIN,LAN,True,3,11,CIN08,Cinergy Field,Cincinnati,OH,43,7,2,0,2,22,5,5,0,41,11,1,0,1,23,3,1,1,2000,4,23,0,United States,-1,0,-82.764915,40.388783,eastern,9
17,2000-04-24,NYN,LAN,True,1,0,NYC17,Shea Stadium,New York,NY,34,3,0,0,0,18,7,5,1,36,5,3,0,0,22,2,4,0,2000,4,24,0,United States,1,1,-74.948051,42.165726,eastern,9
18,2000-04-25,ATL,LAN,False,1,0,ATL02,Turner Field,Atlanta,GA,30,2,1,0,0,19,7,1,0,32,4,2,0,0,18,5,3,0,2000,4,25,0,United States,1,1,-83.643074,33.040619,eastern,9
19,2000-04-26,ATL,LAN,False,5,1,ATL02,Turner Field,Atlanta,GA,37,3,2,0,0,18,8,6,0,35,4,2,0,3,19,5,2,0,2000,4,26,0,United States,1,1,-83.643074,33.040619,eastern,9
20,2000-04-27,ATL,LAN,True,6,3,ATL02,Turner Field,Atlanta,GA,44,7,0,0,2,21,8,5,1,38,6,2,0,1,19,2,7,1,2000,4,27,0,United States,1,1,-83.643074,33.040619,eastern,9
21,2000-04-28,LAN,FLO,False,5,3,LOS03,Dodger Stadium,Los Angeles,CA,36,4,3,0,0,18,8,2,1,36,8,1,0,0,19,3,5,0,2000,4,28,0,United States,1,1,-119.681564,36.116203,pacific,12
22,2000-04-29,LAN,FLO,False,13,12,LOS03,Dodger Stadium,Los Angeles,CA,44,7,2,0,3,22,7,2,1,50,11,2,0,4,15,10,8,0,2000,4,29,0,United States,1,1,-119.681564,36.116203,pacific,12
23,2000-04-30,LAN,FLO,True,7,1,LOS03,Dodger Stadium,Los Angeles,CA,34,2,0,0,1,21,7,3,0,37,4,2,0,3,18,5,5,0,2000,4,30,0,United States,1,1,-119.681564,36.116203,pacific,12
24,2000-05-01,LAN,ATL,False,1,2,LOS03,Dodger Stadium,Los Angeles,CA,35,4,1,0,1,19,8,2,0,36,6,0,0,0,20,6,4,0,2000,5,1,0,United States,-1,0,-119.681564,36.116203,pacific,12
25,2000-05-02,LAN,ATL,False,3,5,LOS03,Dodger Stadium,Los Angeles,CA,41,3,2,0,1,20,5,10,0,40,7,4,0,0,20,4,5,0,2000,5,2,0,United States,-1,0,-119.681564,36.116203,pacific,12
26,2000-05-03,LAN,ATL,False,6,4,LOS03,Dodger Stadium,Los Angeles,CA,36,6,0,0,0,24,1,4,1,34,7,0,0,2,21,3,1,0,2000,5,3,0,United States,1,1,-119.681564,36.116203,pacific,12
27,2000-05-05,LAN,HOU,False,3,2,LOS03,Dodger Stadium,Los Angeles,CA,32,2,0,0,2,22,5,1,0,37,5,3,0,1,21,3,4,0,2000,5,5,0,United States,1,1,-119.681564,36.116203,pacific,12
28,2000-05-06,LAN,HOU,False,9,6,LOS03,Dodger Stadium,Los Angeles,CA,40,8,3,0,1,19,4,4,1,37,2,2,1,2,21,3,5,1,2000,5,6,0,United States,1,1,-119.681564,36.116203,pacific,12
29,2000-05-07,LAN,HOU,False,8,14,LOS03,Dodger Stadium,Los Angeles,CA,59,13,1,0,3,21,9,8,4,48,9,0,0,3,25,8,3,0,2000,5,7,0,United States,-1,0,-119.681564,36.116203,pacific,12
30,2000-05-08,ARI,LAN,False,15,7,PHO01,Chase Field,Phoenix,AZ,39,1,3,1,2,26,1,5,0,49,12,5,0,3,22,3,4,0,2000,5,8,0,United States,1,1,-111.431221,33.729759,mountain,13
31,2000-05-09,ARI,LAN,False,11,7,PHO01,Chase Field,Phoenix,AZ,56,11,2,0,2,22,10,9,0,52,9,2,1,3,26,6,3,2,2000,5,9,0,United States,1,1,-111.431221,33.729759,mountain,13
32,2000-05-10,ARI,LAN,False,2,1,PHO01,Chase Field,Phoenix,AZ,37,6,2,0,1,11,16,1,0,37,7,2,0,0,19,6,3,0,2000,5,10,0,United States,1,1,-111.431221,33.729759,mountain,13
33,2000-05-12,SLN,LAN,False,0,13,STL09,Busch Stadium II,St. Louis,MO,46,6,4,1,2,20,7,5,1,29,1,1,0,0,17,6,3,1,2000,5,12,0,United States,-1,0,-92.288368,38.456085,central,14
34,2000-05-13,SLN,LAN,False,1,3,STL09,Busch Stadium II,St. Louis,MO,39,6,1,0,0,15,10,6,1,33,2,0,0,1,14,13,3,0,2000,5,13,0,United States,-1,0,-92.288368,38.456085,central,14
35,2000-05-14,SLN,LAN,True,12,10,STL09,Busch Stadium II,St. Louis,MO,44,4,3,0,4,23,4,6,0,43,9,4,0,4,13,6,6,1,2000,5,14,0,United States,1,1,-92.288368,38.456085,central,14
36,2000-05-16,CHN,LAN,False,5,6,CHI11,Wrigley Field,Chicago,IL,38,6,0,0,3,21,6,0,2,38,4,1,0,2,19,8,4,0,2000,5,16,0,United States,-1,0,-88.986137,40.349457,central,14
37,2000-05-17,CHN,LAN,True,6,8,CHI11,Wrigley Field,Chicago,IL,42,5,3,0,1,22,3,8,0,37,5,0,1,1,19,6,4,1,2000,5,17,0,United States,-1,0,-88.986137,40.349457,central,14
38,2000-05-19,FLO,LAN,False,3,5,MIA01,Sun Life Stadium,Miami,FL,38,3,4,1,0,26,2,2,0,38,5,0,1,1,18,8,5,0,2000,5,19,0,United States,-1,0,-81.686783,27.766279,eastern,15
39,2000-05-20,FLO,LAN,False,6,12,MIA01,Sun Life Stadium,Miami,FL,47,8,3,2,2,15,10,7,0,43,10,2,0,2,17,8,3,1,2000,5,20,0,United States,-1,0,-81.686783,27.766279,eastern,15
40,2000-05-21,FLO,LAN,True,3,12,MIA01,Sun Life Stadium,Miami,FL,51,11,3,0,3,23,4,6,1,33,6,0,0,1,20,6,0,0,2000,5,21,0,United States,-1,0,-81.686783,27.766279,eastern,15
41,2000-05-22,LAN,CIN,False,4,3,LOS03,Dodger Stadium,Los Angeles,CA,54,7,2,0,1,35,8,1,0,56,6,1,0,2,27,11,9,0,2000,5,22,0,United States,1,1,-119.681564,36.116203,pacific,18
42,2000-05-23,LAN,CIN,False,1,3,LOS03,Dodger Stadium,Los Angeles,CA,38,2,3,0,2,18,8,5,0,34,2,1,0,0,18,8,4,1,2000,5,23,0,United States,-1,0,-119.681564,36.116203,pacific,18
43,2000-05-24,LAN,CIN,False,3,10,LOS03,Dodger Stadium,Los Angeles,CA,50,7,1,2,1,19,8,10,2,37,4,3,0,0,19,8,2,1,2000,5,24,0,United States,-1,0,-119.681564,36.116203,pacific,18
44,2000-05-26,LAN,PHI,False,11,4,LOS03,Dodger Stadium,Los Angeles,CA,38,6,0,1,1,19,9,2,0,39,5,2,0,3,19,6,4,0,2000,5,26,0,United States,1,1,-119.681564,36.116203,pacific,18
45,2000-05-27,LAN,PHI,False,6,7,LOS03,Dodger Stadium,Los Angeles,CA,43,6,0,0,3,15,10,9,0,43,6,3,0,1,16,11,5,1,2000,5,27,0,United States,-1,0,-119.681564,36.116203,pacific,18
46,2000-05-28,LAN,PHI,True,2,4,LOS03,Dodger Stadium,Los Angeles,CA,41,9,3,0,0,20,6,3,0,35,3,2,0,1,20,4,4,1,2000,5,28,0,United States,-1,0,-119.681564,36.116203,pacific,18
47,2000-05-29,LAN,NYN,True,4,1,LOS03,Dodger Stadium,Los Angeles,CA,39,3,1,0,0,21,6,8,0,34,6,1,0,1,17,4,3,2,2000,5,29,0,United States,1,1,-119.681564,36.116203,pacific,18
48,2000-05-30,LAN,NYN,False,5,10,LOS03,Dodger Stadium,Los Angeles,CA,48,9,3,0,1,17,10,8,0,43,9,3,0,1,20,7,3,0,2000,5,30,0,United States,-1,0,-119.681564,36.116203,pacific,18
49,2000-05-31,LAN,NYN,False,4,3,LOS03,Dodger Stadium,Los Angeles,CA,36,5,1,0,2,19,6,3,0,33,3,1,0,2,16,9,2,0,2000,5,31,0,United States,1,1,-119.681564,36.116203,pacific,18
50,2000-06-02,ANA,LAN,False,12,5,ANA01,Angel Stadium of Anaheim,Anaheim,CA,40,7,1,0,3,19,6,4,0,48,11,5,0,2,16,6,7,1,2000,6,2,0,United States,1,1,-119.681564,36.116203,pacific,18
51,2000-06-03,ANA,LAN,True,3,8,ANA01,Angel Stadium of Anaheim,Anaheim,CA,42,5,2,0,2,21,6,6,0,43,10,2,0,0,17,9,4,1,2000,6,3,0,United States,-1,0,-119.681564,36.116203,pacific,18
52,2000-06-04,ANA,LAN,True,8,7,ANA01,Angel Stadium of Anaheim,Anaheim,CA,40,6,3,0,2,16,7,5,1,43,6,2,0,1,19,6,8,1,2000,6,4,0,United States,1,1,-119.681564,36.116203,pacific,18
