,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-03,MON,LAN,False,4,10,MON02,Stade Olympique,Montreal,QUE,43,6,0,1,2,26,4,4,0,38,7,0,0,2,19,8,2,0,2000,4,3,1,Canada,-1,0,-79.347015,43.65107,eastern,3
1,2000-04-04,MON,LAN,False,4,10,MON02,Stade Olympique,Montreal,QUE,47,12,3,0,2,15,12,2,1,37,3,3,0,0,20,5,5,1,2000,4,4,1,Canada,-1,0,-79.347015,43.65107,eastern,3
2,2000-04-05,MON,LAN,False,6,5,MON02,Stade Olympique,Montreal,QUE,41,7,2,1,2,20,6,3,0,39,8,2,0,0,19,5,4,1,2000,4,5,1,Canada,1,1,-79.347015,43.65107,eastern,3
3,2000-04-06,MON,LAN,False,11,3,MON02,Stade Olympique,Montreal,QUE,35,3,3,0,0,21,5,1,2,42,7,4,0,3,19,5,3,1,2000,4,6,1,Canada,1,1,-79.347015,43.65107,eastern,3
4,2000-04-07,MON,SDN,False,5,10,MON02,Stade Olympique,Montreal,QUE,45,10,1,0,2,22,7,1,2,39,8,4,0,0,19,6,2,0,2000,4,7,1,Canada,-1,0,-79.347015,43.65107,eastern,3
5,2000-04-08,MON,SDN,True,10,9,MON02,Stade Olympique,Montreal,QUE,40,4,3,1,3,21,6,2,0,41,6,3,0,2,12,10,7,1,2000,4,8,1,Canada,1,1,-79.347015,43.65107,eastern,3
6,2000-04-09,MON,SDN,True,2,1,MON02,Stade Olympique,Montreal,QUE,31,6,1,0,0,20,3,1,0,31,3,1,0,0,18,5,4,0,2000,4,9,1,Canada,1,1,-79.347015,43.65107,eastern,3
7,2000-04-11,PIT,MON,False,3,7,PIT07,Three Rivers Stadium,Pittsburgh,PA,38,5,0,1,3,16,10,3,0,32,3,1,0,0,18,7,3,0,2000,4,11,0,United States,-1,0,-77.209755,40.590752,eastern,3
8,2000-04-12,PIT,MON,False,6,4,PIT07,Three Rivers Stadium,Pittsburgh,PA,36,5,2,0,0,19,8,2,0,35,7,2,0,1,13,9,3,0,2000,4,12,0,United States,1,1,-77.209755,40.590752,eastern,3
9,2000-04-13,PIT,MON,False,4,3,PIT07,Three Rivers Stadium,Pittsburgh,PA,34,5,3,0,0,20,4,2,0,37,7,2,1,0,17,9,1,0,2000,4,13,0,United States,1,1,-77.209755,40.590752,eastern,3
10,2000-04-14,PHI,MON,False,0,4,PHI12,Veterans Stadium,Philadelphia,PA,36,4,2,0,3,14,12,1,0,33,5,1,0,0,20,5,2,0,2000,4,14,0,United States,-1,0,-77.209755,40.590752,eastern,3
11,2000-04-16,PHI,MON,True,5,4,PHI12,Veterans Stadium,Philadelphia,PA,37,3,2,0,2,22,5,3,0,39,7,2,0,0,16,8,5,1,2000,4,16,0,United States,1,1,-77.209755,40.590752,eastern,3
12,2000-04-18,MON,CHN,False,4,3,MON02,Stade Olympique,Montreal,QUE,36,4,1,0,2,16,10,3,0,31,5,4,0,0,20,2,0,0,2000,4,18,1,Canada,1,1,-79.347015,43.65107,eastern,3
13,2000-04-19,MON,CHN,False,7,3,MON02,Stade Olympique,Montreal,QUE,36,4,1,0,2,18,7,3,1,40,7,3,1,0,21,3,5,0,2000,4,19,1,Canada,1,1,-79.347015,43.65107,eastern,3
14,2000-04-20,MON,CHN,False,6,10,MON02,Stade Olympique,Montreal,QUE,42,6,3,0,1,20,9,3,0,40,10,3,0,0,21,3,2,1,2000,4,20,1,Canada,-1,0,-79.347015,43.65107,eastern,3
15,2000-04-21,MON,MIL,False,5,1,MON02,Stade Olympique,Montreal,QUE,35,3,4,0,1,23,3,1,0,32,5,1,0,2,16,6,2,0,2000,4,21,1,Canada,1,1,-79.347015,43.65107,eastern,3
16,2000-04-22,MON,MIL,False,3,7,MON02,Stade Olympique,Montreal,QUE,43,8,5,0,2,20,7,1,0,35,2,1,0,2,20,7,3,0,2000,4,22,1,Canada,-1,0,-79.347015,43.65107,eastern,3
17,2000-04-23,MON,MIL,True,6,4,MON02,Stade Olympique,Montreal,QUE,38,5,1,0,1,19,8,3,1,39,5,5,0,0,17,6,6,0,2000,4,23,1,Canada,1,1,-79.347015,43.65107,eastern,3
18,2000-04-25,MON,COL,False,10,4,MON02,Stade Olympique,Montreal,QUE,38,10,0,1,0,19,5,3,0,39,8,3,1,2,19,4,2,0,2000,4,25,1,Canada,1,1,-79.347015,43.65107,eastern,3
19,2000-04-26,MON,COL,False,9,2,MON02,Stade Olympique,Montreal,QUE,33,3,1,1,0,22,4,2,0,40,6,5,0,1,19,4,3,2,2000,4,26,1,Canada,1,1,-79.347015,43.65107,eastern,3
20,2000-04-28,SFN,MON,False,3,9,SFO03,Oracle Park,San Francisco,CA,41,4,3,0,1,19,7,6,1,38,8,2,1,0,22,4,1,0,2000,4,28,0,United States,-1,0,-119.681564,36.116203,pacific,6
21,2000-04-29,SFN,MON,True,2,1,SFO03,Oracle Park,San Francisco,CA,31,2,0,1,0,21,5,2,0,33,8,0,0,1,21,1,2,0,2000,4,29,0,United States,1,1,-119.681564,36.116203,pacific,6
22,2000-04-30,SFN,MON,True,3,4,SFO03,Oracle Park,San Francisco,CA,39,3,1,1,1,23,4,6,0,40,3,2,0,1,21,6,7,0,2000,4,30,0,United States,-1,0,-119.681564,36.116203,pacific,6
23,2000-05-01,COL,MON,False,15,8,DEN02,Coors Field,Denver,CO,44,7,3,0,5,22,4,3,0,48,10,3,0,5,19,5,6,0,2000,5,1,0,United States,1,1,-105.311104,39.059811,mountain,7
24,2000-05-02,COL,MON,False,12,6,DEN02,Coors Field,Denver,CO,40,9,1,0,1,22,5,2,0,42,7,1,1,4,19,2,7,1,2000,5,2,0,United States,1,1,-105.311104,39.059811,mountain,7
25,2000-05-03,COL,MON,True,16,7,DEN02,Coors Field,Denver,CO,40,6,4,0,2,21,6,1,0,48,20,2,2,0,20,2,2,0,2000,5,3,0,United States,1,1,-105.311104,39.059811,mountain,7
26,2000-05-05,MIL,MON,False,2,10,MIL05,County Stadium,Milwaukee,WI,46,7,4,0,3,24,4,4,0,39,6,1,0,0,14,14,4,0,2000,5,5,0,United States,-1,0,-89.616508,44.268543,central,8
27,2000-05-06,MIL,MON,True,2,3,MIL05,County Stadium,Milwaukee,WI,36,8,2,0,1,19,5,1,0,35,3,1,0,0,16,10,4,1,2000,5,6,0,United States,-1,0,-89.616508,44.268543,central,8
28,2000-05-07,MIL,MON,True,9,4,MIL05,County Stadium,Milwaukee,WI,36,5,1,0,2,21,4,3,0,41,9,2,0,2,19,5,4,0,2000,5,7,0,United States,1,1,-89.616508,44.268543,central,8
29,2000-05-09,MON,PHI,False,3,2,MON02,Stade Olympique,Montreal,QUE,33,4,1,0,1,20,6,0,1,36,5,2,0,1,20,6,2,0,2000,5,9,1,Canada,1,1,-79.347015,43.65107,eastern,9
30,2000-05-10,MON,PHI,False,0,8,MON02,Stade Olympique,Montreal,QUE,45,11,2,0,0,26,1,4,1,33,2,2,0,0,20,5,4,0,2000,5,10,1,Canada,-1,0,-79.347015,43.65107,eastern,9
31,2000-05-11,MON,PHI,False,4,6,MON02,Stade Olympique,Montreal,QUE,40,3,3,2,0,16,11,3,2,38,5,2,0,1,19,8,3,0,2000,5,11,1,Canada,-1,0,-79.347015,43.65107,eastern,9
32,2000-05-12,MON,CHN,False,8,3,MON02,Stade Olympique,Montreal,QUE,42,6,1,0,0,21,6,7,1,42,7,1,1,1,14,10,8,0,2000,5,12,1,Canada,1,1,-79.347015,43.65107,eastern,9
33,2000-05-13,MON,CHN,False,1,2,MON02,Stade Olympique,Montreal,QUE,37,2,4,0,0,23,3,5,0,35,6,2,0,0,22,5,0,0,2000,5,13,1,Canada,-1,0,-79.347015,43.65107,eastern,9
34,2000-05-14,MON,CHN,True,16,15,MON02,Stade Olympique,Montreal,QUE,51,17,1,0,3,16,9,4,1,51,9,3,0,4,18,5,12,0,2000,5,14,1,Canada,1,1,-79.347015,43.65107,eastern,9
35,2000-05-16,MON,ARI,False,2,0,MON02,Stade Olympique,Montreal,QUE,35,4,1,0,0,19,7,4,0,28,3,1,0,1,11,12,0,0,2000,5,16,1,Canada,1,1,-79.347015,43.65107,eastern,9
36,2000-05-17,MON,ARI,False,10,2,MON02,Stade Olympique,Montreal,QUE,34,4,0,0,2,19,8,1,0,41,5,7,0,2,18,6,3,0,2000,5,17,1,Canada,1,1,-79.347015,43.65107,eastern,9
37,2000-05-18,MON,ARI,False,6,8,MON02,Stade Olympique,Montreal,QUE,43,6,3,0,1,23,4,6,0,36,3,0,1,4,19,8,1,0,2000,5,18,1,Canada,-1,0,-79.347015,43.65107,eastern,9
38,2000-05-19,MON,HOU,False,3,2,MON02,Stade Olympique,Montreal,QUE,42,7,0,0,1,22,5,7,0,38,5,1,0,2,18,9,3,0,2000,5,19,1,Canada,1,1,-79.347015,43.65107,eastern,9
39,2000-05-20,MON,HOU,False,8,7,MON02,Stade Olympique,Montreal,QUE,41,5,3,0,2,16,11,4,0,41,9,5,0,1,19,5,2,0,2000,5,20,1,Canada,1,1,-79.347015,43.65107,eastern,9
40,2000-05-21,MON,HOU,True,8,3,MON02,Stade Olympique,Montreal,QUE,35,5,0,0,2,21,6,1,0,38,7,0,1,3,14,9,4,0,2000,5,21,1,Canada,1,1,-79.347015,43.65107,eastern,9
41,2000-05-23,SFN,MON,False,2,3,SFO03,Oracle Park,San Francisco,CA,38,6,3,0,2,22,4,1,0,34,3,4,0,1,17,8,1,0,2000,5,23,0,United States,-1,0,-119.681564,36.116203,pacific,12
42,2000-05-24,SFN,MON,False,18,0,SFO03,Oracle Park,San Francisco,CA,33,7,0,0,0,18,7,1,0,48,13,1,1,3,18,7,4,1,2000,5,24,0,United States,1,1,-119.681564,36.116203,pacific,12
43,2000-05-25,SFN,MON,True,4,1,SFO03,Oracle Park,San Francisco,CA,35,5,1,0,0,17,10,2,0,35,7,1,0,1,17,6,3,0,2000,5,25,0,United States,1,1,-119.681564,36.116203,pacific,12
44,2000-05-26,SDN,MON,False,6,2,SAN01,Qualcomm Stadium,San Diego,CA,37,4,2,0,0,23,6,2,0,36,9,2,0,0,20,3,2,0,2000,5,26,0,United States,1,1,-119.681564,36.116203,pacific,12
45,2000-05-27,SDN,MON,False,4,2,SAN01,Qualcomm Stadium,San Diego,CA,41,6,1,0,0,19,8,6,1,32,7,1,0,2,15,6,1,0,2000,5,27,0,United States,1,1,-119.681564,36.116203,pacific,12
46,2000-05-28,SDN,MON,True,4,3,SAN01,Qualcomm Stadium,San Diego,CA,39,6,1,0,1,15,12,4,0,33,3,2,1,0,21,3,2,1,2000,5,28,0,United States,1,1,-119.681564,36.116203,pacific,12
47,2000-05-30,CIN,MON,False,4,2,CIN08,Cinergy Field,Cincinnati,OH,32,2,1,0,0,20,8,1,0,33,3,0,0,2,19,5,3,1,2000,5,30,0,United States,1,1,-82.764915,40.388783,eastern,15
48,2000-05-31,CIN,MON,False,4,10,CIN08,Cinergy Field,Cincinnati,OH,43,10,4,0,2,20,6,1,0,33,1,4,0,1,16,11,0,0,2000,5,31,0,United States,-1,0,-82.764915,40.388783,eastern,15
49,2000-06-01,CIN,MON,False,7,9,CIN08,Cinergy Field,Cincinnati,OH,48,11,4,0,2,23,3,5,0,42,12,3,0,1,22,2,2,0,2000,6,1,0,United States,-1,0,-82.764915,40.388783,eastern,15
50,2000-06-02,MON,BAL,False,5,3,MON02,Stade Olympique,Montreal,QUE,39,6,2,0,1,21,5,4,0,33,5,2,0,2,14,8,2,0,2000,6,2,1,Canada,1,1,-79.347015,43.65107,eastern,15
51,2000-06-03,MON,BAL,False,7,4,MON02,Stade Olympique,Montreal,QUE,40,5,1,0,3,21,5,5,0,37,5,3,1,3,14,7,4,0,2000,6,3,1,Canada,1,1,-79.347015,43.65107,eastern,15
52,2000-06-04,MON,BAL,True,1,0,MON02,Stade Olympique,Montreal,QUE,34,1,2,0,0,20,7,4,0,33,2,4,0,0,16,8,3,0,2000,6,4,1,Canada,1,1,-79.347015,43.65107,eastern,15
