,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-03,ANA,NYA,False,2,3,ANA01,Angel Stadium of Anaheim,Anaheim,CA,35,4,0,0,2,23,3,3,0,40,8,1,0,1,19,6,5,0,2000,4,3,0,United States,-1,0,-119.681564,36.116203,pacific,0
1,2000-04-04,ANA,NYA,False,3,5,ANA01,Angel Stadium of Anaheim,Anaheim,CA,41,5,2,1,1,19,7,6,0,42,10,0,0,0,17,9,6,0,2000,4,4,0,United States,-1,0,-119.681564,36.116203,pacific,0
2,2000-04-05,ANA,NYA,False,12,6,ANA01,Angel Stadium of Anaheim,Anaheim,CA,40,8,3,0,2,22,5,0,0,44,7,4,0,1,19,4,8,1,2000,4,5,0,United States,1,1,-119.681564,36.116203,pacific,0
3,2000-04-07,SEA,NYA,False,7,5,SEA03,Safeco Field,Seattle,WA,35,3,4,0,2,18,8,0,0,41,8,2,0,2,15,9,5,0,2000,4,7,0,United States,1,1,-121.490494,47.400902,pacific,0
4,2000-04-08,SEA,NYA,True,2,3,SEA03,Safeco Field,Seattle,WA,40,6,2,0,2,18,7,5,0,36,3,1,0,1,18,10,2,1,2000,4,8,0,United States,-1,0,-121.490494,47.400902,pacific,0
5,2000-04-09,SEA,NYA,True,9,3,SEA03,Safeco Field,Seattle,WA,30,0,2,0,1,22,5,0,0,38,6,2,0,1,17,6,6,0,2000,4,9,0,United States,1,1,-121.490494,47.400902,pacific,0
6,2000-04-12,NYA,TEX,True,8,6,NYC16,Yankee Stadium I,New York,NY,42,8,2,0,0,16,8,7,1,40,9,2,1,1,18,7,2,0,2000,4,12,0,United States,1,1,-74.948051,42.165726,eastern,3
7,2000-04-13,NYA,TEX,False,5,1,NYC16,Yankee Stadium I,New York,NY,34,3,1,0,0,23,5,2,0,34,7,0,1,0,19,4,3,0,2000,4,13,0,United States,1,1,-74.948051,42.165726,eastern,3
8,2000-04-14,NYA,KCA,False,7,5,NYC16,Yankee Stadium I,New York,NY,41,6,2,0,1,19,7,5,1,43,6,3,0,1,14,8,11,0,2000,4,14,0,United States,1,1,-74.948051,42.165726,eastern,3
9,2000-04-15,NYA,KCA,True,7,1,NYC16,Yankee Stadium I,New York,NY,29,1,1,0,0,22,5,0,0,38,8,0,0,3,15,8,0,4,2000,4,15,0,United States,1,1,-74.948051,42.165726,eastern,3
10,2000-04-16,NYA,KCA,True,8,4,NYC16,Yankee Stadium I,New York,NY,39,7,1,0,1,20,6,4,0,40,7,2,0,1,16,7,6,1,2000,4,16,0,United States,1,1,-74.948051,42.165726,eastern,3
11,2000-04-17,TEX,NYA,False,4,5,ARL02,Rangers Ballpark in Arlington,Arlington,TX,42,6,0,0,2,23,9,2,0,45,8,2,0,1,24,6,3,1,2000,4,17,0,United States,-1,0,-97.563461,31.054487,central,4
12,2000-04-18,TEX,NYA,False,3,6,ARL02,Rangers Ballpark in Arlington,Arlington,TX,41,6,3,0,2,24,1,4,1,36,5,2,0,1,22,5,1,0,2000,4,18,0,United States,-1,0,-97.563461,31.054487,central,4
13,2000-04-19,TEX,NYA,True,4,5,ARL02,Rangers Ballpark in Arlington,Arlington,TX,47,7,3,0,2,20,11,4,0,40,2,3,0,2,23,6,3,1,2000,4,19,0,United States,-1,0,-97.563461,31.054487,central,4
14,2000-04-21,TOR,NYA,True,8,3,TOR02,Rogers Centre,Toronto,ONT,32,4,1,0,0,22,3,0,2,40,6,4,1,1,21,2,2,3,2000,4,21,1,Canada,1,1,-79.347015,43.65107,eastern,5
15,2000-04-22,TOR,NYA,True,8,2,TOR02,Rogers Centre,Toronto,ONT,34,8,0,1,0,21,4,0,0,35,5,2,0,3,17,7,0,1,2000,4,22,1,Canada,1,1,-79.347015,43.65107,eastern,5
16,2000-04-23,TOR,NYA,True,7,10,TOR02,Rogers Centre,Toronto,ONT,44,9,2,0,4,18,8,3,0,39,3,1,0,4,17,12,2,0,2000,4,23,1,Canada,-1,0,-79.347015,43.65107,eastern,5
17,2000-04-24,NYA,MIN,True,3,7,NYC16,Yankee Stadium I,New York,NY,37,3,3,0,0,14,12,5,0,37,5,0,0,0,17,10,4,1,2000,4,24,0,United States,-1,0,-74.948051,42.165726,eastern,5
18,2000-04-25,NYA,MIN,False,1,6,NYC16,Yankee Stadium I,New York,NY,39,7,1,0,2,21,5,3,0,37,7,0,0,0,16,8,6,0,2000,4,25,0,United States,-1,0,-74.948051,42.165726,eastern,5
19,2000-04-26,NYA,MIN,True,2,0,NYC16,Yankee Stadium I,New York,NY,32,5,0,0,0,16,9,2,0,33,3,1,0,2,19,4,4,0,2000,4,26,0,United States,1,1,-74.948051,42.165726,eastern,5
20,2000-04-28,NYA,TOR,False,6,0,NYC16,Yankee Stadium I,New York,NY,33,3,0,0,0,19,8,2,1,37,5,1,1,1,19,5,4,1,2000,4,28,0,United States,1,1,-74.948051,42.165726,eastern,5
21,2000-04-29,NYA,TOR,True,2,6,NYC16,Yankee Stadium I,New York,NY,42,11,3,0,0,19,7,2,0,36,9,2,0,0,23,1,1,0,2000,4,29,0,United States,-1,0,-74.948051,42.165726,eastern,5
22,2000-04-30,NYA,TOR,True,7,1,NYC16,Yankee Stadium I,New York,NY,38,8,1,0,0,18,8,2,1,37,7,3,1,1,15,7,3,0,2000,4,30,0,United States,1,1,-74.948051,42.165726,eastern,5
23,2000-05-01,CLE,NYA,False,1,2,CLE08,Progressive Field,Cleveland,OH,35,5,3,0,0,18,5,4,0,35,5,1,0,1,19,6,3,0,2000,5,1,0,United States,-1,0,-82.764915,40.388783,eastern,5
24,2000-05-02,CLE,NYA,False,2,4,CLE08,Progressive Field,Cleveland,OH,36,6,2,0,2,17,7,2,0,36,6,0,0,0,22,6,2,0,2000,5,2,0,United States,-1,0,-82.764915,40.388783,eastern,5
25,2000-05-03,CLE,NYA,False,5,6,CLE08,Progressive Field,Cleveland,OH,39,4,2,2,1,17,10,3,0,42,7,3,0,0,19,8,5,0,2000,5,3,0,United States,-1,0,-82.764915,40.388783,eastern,5
26,2000-05-05,NYA,BAL,False,12,10,NYC16,Yankee Stadium I,New York,NY,44,7,4,0,3,20,6,4,0,42,11,2,0,3,21,2,2,1,2000,5,5,0,United States,1,1,-74.948051,42.165726,eastern,5
27,2000-05-06,NYA,BAL,True,3,1,NYC16,Yankee Stadium I,New York,NY,35,3,3,0,0,20,6,3,0,34,1,5,0,0,19,5,4,0,2000,5,6,0,United States,1,1,-74.948051,42.165726,eastern,5
28,2000-05-07,NYA,BAL,True,6,7,NYC16,Yankee Stadium I,New York,NY,41,8,2,0,2,23,4,2,0,44,5,3,1,1,21,5,8,0,2000,5,7,0,United States,-1,0,-74.948051,42.165726,eastern,5
29,2000-05-08,NYA,TBA,False,6,3,NYC16,Yankee Stadium I,New York,NY,36,8,1,0,0,22,4,1,0,34,5,0,0,3,16,5,5,0,2000,5,8,0,United States,1,1,-74.948051,42.165726,eastern,5
30,2000-05-09,NYA,TBA,False,4,3,NYC16,Yankee Stadium I,New York,NY,38,3,4,0,1,24,5,1,0,39,3,2,0,2,22,4,6,0,2000,5,9,0,United States,1,1,-74.948051,42.165726,eastern,5
31,2000-05-11,NYA,TBA,False,0,1,NYC16,Yankee Stadium I,New York,NY,32,6,0,0,1,17,6,2,0,33,3,1,0,0,22,5,2,0,2000,5,11,0,United States,-1,0,-74.948051,42.165726,eastern,5
32,2000-05-12,DET,NYA,False,9,7,DET05,Comerica Park,Detroit,MI,41,8,2,1,1,23,3,3,0,46,13,1,1,1,17,6,7,0,2000,5,12,0,United States,1,1,-84.536095,43.326618,eastern,5
33,2000-05-13,DET,NYA,True,6,3,DET05,Comerica Park,Detroit,MI,36,8,0,0,0,20,6,2,0,40,8,4,1,0,19,5,3,0,2000,5,13,0,United States,1,1,-84.536095,43.326618,eastern,5
34,2000-05-14,DET,NYA,True,2,1,DET05,Comerica Park,Detroit,MI,35,5,0,0,0,23,4,3,0,37,5,3,0,0,21,3,4,1,2000,5,14,0,United States,1,1,-84.536095,43.326618,eastern,5
35,2000-05-16,NYA,CHA,False,0,4,NYC16,Yankee Stadium I,New York,NY,37,3,2,1,1,24,3,3,0,35,3,0,0,0,20,6,5,1,2000,5,16,0,United States,-1,0,-74.948051,42.165726,eastern,5
36,2000-05-17,NYA,CHA,False,9,4,NYC16,Yankee Stadium I,New York,NY,37,3,2,0,2,17,11,1,1,45,8,4,1,2,23,2,4,1,2000,5,17,0,United States,1,1,-74.948051,42.165726,eastern,5
37,2000-05-19,CLE,NYA,False,7,11,CLE08,Progressive Field,Cleveland,OH,48,9,3,0,2,18,8,8,0,45,5,2,0,2,19,10,7,0,2000,5,19,0,United States,-1,0,-82.764915,40.388783,eastern,5
38,2000-05-20,CLE,NYA,True,3,2,CLE08,Progressive Field,Cleveland,OH,40,6,3,0,0,16,10,5,0,39,5,1,0,1,16,7,9,0,2000,5,20,0,United States,1,1,-82.764915,40.388783,eastern,5
39,2000-05-21,CLE,NYA,True,6,1,CLE08,Progressive Field,Cleveland,OH,32,3,1,0,0,21,3,4,0,39,6,2,0,3,16,7,4,1,2000,5,21,0,United States,1,1,-82.764915,40.388783,eastern,5
40,2000-05-23,CHA,NYA,False,8,2,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,38,9,0,0,0,16,9,4,0,36,6,0,0,5,15,9,1,0,2000,5,23,0,United States,1,1,-88.986137,40.349457,central,6
41,2000-05-24,CHA,NYA,False,4,12,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,48,15,2,0,1,16,10,4,0,37,3,1,1,2,23,5,2,0,2000,5,24,0,United States,-1,0,-88.986137,40.349457,central,6
42,2000-05-25,CHA,NYA,False,0,7,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,40,8,2,0,2,21,5,2,0,32,4,0,0,0,22,4,1,1,2000,5,25,0,United States,-1,0,-88.986137,40.349457,central,6
43,2000-05-26,NYA,BOS,False,1,4,NYC16,Yankee Stadium I,New York,NY,38,6,1,0,1,19,7,4,0,35,5,2,0,1,19,7,0,1,2000,5,26,0,United States,-1,0,-74.948051,42.165726,eastern,7
44,2000-05-27,NYA,BOS,True,8,3,NYC16,Yankee Stadium I,New York,NY,39,7,1,0,1,20,7,2,1,37,7,0,0,4,18,4,2,2,2000,5,27,0,United States,1,1,-74.948051,42.165726,eastern,7
45,2000-05-28,NYA,BOS,False,0,2,NYC16,Yankee Stadium I,New York,NY,30,3,0,1,1,12,13,0,0,33,3,1,0,0,17,9,1,2,2000,5,28,0,United States,-1,0,-74.948051,42.165726,eastern,7
46,2000-05-29,NYA,OAK,True,4,1,NYC16,Yankee Stadium I,New York,NY,31,0,1,0,1,24,3,1,1,33,3,1,1,1,20,3,2,2,2000,5,29,0,United States,1,1,-74.948051,42.165726,eastern,7
47,2000-05-30,NYA,OAK,False,4,7,NYC16,Yankee Stadium I,New York,NY,45,7,4,0,0,20,6,7,1,42,5,2,0,3,19,7,6,0,2000,5,30,0,United States,-1,0,-74.948051,42.165726,eastern,7
48,2000-05-31,NYA,OAK,False,7,8,NYC16,Yankee Stadium I,New York,NY,43,7,0,0,2,20,6,8,0,41,5,3,1,2,19,6,5,0,2000,5,31,0,United States,-1,0,-74.948051,42.165726,eastern,7
49,2000-06-02,ATL,NYA,False,2,5,ATL02,Turner Field,Atlanta,GA,40,6,3,0,1,18,8,3,1,34,4,0,0,1,18,10,1,0,2000,6,2,0,United States,-1,0,-83.643074,33.040619,eastern,7
50,2000-06-03,ATL,NYA,True,11,7,ATL02,Turner Field,Atlanta,GA,48,10,2,0,1,20,7,7,1,45,7,3,0,1,19,8,6,1,2000,6,3,0,United States,1,1,-83.643074,33.040619,eastern,7
51,2000-06-04,ATL,NYA,True,6,7,ATL02,Turner Field,Atlanta,GA,47,11,3,0,2,22,6,3,0,40,8,2,0,2,19,7,2,0,2000,6,4,0,United States,-1,0,-83.643074,33.040619,eastern,7
52,2000-06-05,MON,NYA,False,6,4,MON02,Stade Olympique,Montreal,QUE,44,10,2,0,1,18,7,6,0,35,3,3,0,2,19,5,2,1,2000,6,5,1,Canada,1,1,-79.347015,43.65107,eastern,7
53,2000-06-06,MON,NYA,False,1,8,MON02,Stade Olympique,Montreal,QUE,46,9,2,0,2,16,9,7,1,33,1,1,0,1,17,9,4,0,2000,6,6,1,Canada,-1,0,-79.347015,43.65107,eastern,7
54,2000-06-07,MON,NYA,False,2,7,MON02,Stade Olympique,Montreal,QUE,41,7,0,1,1,23,5,3,1,34,3,0,0,1,22,5,3,0,2000,6,7,1,Canada,-1,0,-79.347015,43.65107,eastern,7
55,2000-06-09,NYA,NYN,False,2,12,NYC16,Yankee Stadium I,New York,NY,46,10,2,0,3,21,7,3,0,37,7,1,0,0,22,4,3,0,2000,6,9,0,United States,-1,0,-74.948051,42.165726,eastern,7
56,2000-06-10,NYA,NYN,True,13,5,NYC16,Yankee Stadium I,New York,NY,41,4,2,0,2,24,4,4,1,43,9,5,0,3,19,5,2,0,2000,6,10,0,United States,1,1,-74.948051,42.165726,eastern,7
57,2000-06-13,NYA,BOS,False,3,5,NYC16,Yankee Stadium I,New York,NY,39,5,3,1,1,18,8,3,0,39,2,4,0,0,19,6,8,0,2000,6,13,0,United States,-1,0,-74.948051,42.165726,eastern,7
58,2000-06-14,NYA,BOS,True,2,1,NYC16,Yankee Stadium I,New York,NY,40,9,0,0,1,20,5,5,0,33,3,4,0,1,12,10,2,1,2000,6,14,0,United States,1,1,-74.948051,42.165726,eastern,7
59,2000-06-15,NYA,CHA,False,3,12,NYC16,Yankee Stadium I,New York,NY,51,10,4,0,2,22,5,7,1,39,11,1,0,0,18,7,2,0,2000,6,15,0,United States,-1,0,-74.948051,42.165726,eastern,7
60,2000-06-16,NYA,CHA,False,1,3,NYC16,Yankee Stadium I,New York,NY,37,5,3,1,0,22,5,1,0,34,5,0,0,1,20,6,2,0,2000,6,16,0,United States,-1,0,-74.948051,42.165726,eastern,7
61,2000-06-17,NYA,CHA,True,9,10,NYC16,Yankee Stadium I,New York,NY,48,10,3,0,2,23,5,4,1,45,11,3,0,1,17,9,4,0,2000,6,17,0,United States,-1,0,-74.948051,42.165726,eastern,7
62,2000-06-18,NYA,CHA,True,4,17,NYC16,Yankee Stadium I,New York,NY,57,12,5,0,1,18,9,12,0,39,8,1,0,1,19,7,3,0,2000,6,18,0,United States,-1,0,-74.948051,42.165726,eastern,7
63,2000-06-19,BOS,NYA,False,1,22,BOS07,Fenway Park,Boston,MA,55,9,4,1,5,25,4,7,0,33,3,2,1,0,20,6,1,0,2000,6,19,0,United States,-1,0,-71.530106,42.230171,eastern,7
64,2000-06-20,BOS,NYA,False,0,3,BOS07,Fenway Park,Boston,MA,36,2,0,0,3,17,11,2,1,35,5,1,0,0,21,5,3,0,2000,6,20,0,United States,-1,0,-71.530106,42.230171,eastern,7
65,2000-06-21,BOS,NYA,False,9,7,BOS07,Fenway Park,Boston,MA,41,8,1,0,1,20,7,4,0,43,6,4,1,0,18,5,9,0,2000,6,21,0,United States,1,1,-71.530106,42.230171,eastern,7
66,2000-06-22,BOS,NYA,False,4,2,BOS07,Fenway Park,Boston,MA,34,3,1,0,1,20,7,2,0,37,5,3,0,0,20,4,4,1,2000,6,22,0,United States,1,1,-71.530106,42.230171,eastern,7
67,2000-06-23,CHA,NYA,False,4,3,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,41,7,3,0,1,17,8,3,2,38,7,0,0,1,15,8,5,2,2000,6,23,0,United States,1,1,-88.986137,40.349457,central,8
68,2000-06-24,CHA,NYA,False,8,12,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,46,10,6,0,0,19,7,3,1,45,8,4,0,1,22,3,7,0,2000,6,24,0,United States,-1,0,-88.986137,40.349457,central,8
69,2000-06-25,CHA,NYA,True,8,7,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,36,9,0,0,1,18,7,0,1,42,9,2,1,1,20,4,5,0,2000,6,25,0,United States,1,1,-88.986137,40.349457,central,8
70,2000-06-27,DET,NYA,False,7,6,DET05,Comerica Park,Detroit,MI,51,14,1,0,0,21,8,7,0,51,11,4,0,2,24,7,3,0,2000,6,27,0,United States,1,1,-84.536095,43.326618,eastern,9
71,2000-06-28,DET,NYA,False,13,6,DET05,Comerica Park,Detroit,MI,39,7,3,0,1,24,3,1,0,42,4,2,2,4,21,3,6,0,2000,6,28,0,United States,1,1,-84.536095,43.326618,eastern,9
72,2000-06-29,DET,NYA,False,0,8,DET05,Comerica Park,Detroit,MI,42,10,3,1,0,24,3,1,0,33,6,0,0,0,20,5,2,0,2000,6,29,0,United States,-1,0,-84.536095,43.326618,eastern,9
73,2000-06-30,TBA,NYA,False,6,4,STP01,Tropicana Field,St. Petersburg,FL,35,4,2,0,1,22,4,2,0,46,11,1,0,0,17,6,11,0,2000,6,30,0,United States,1,1,-81.686783,27.766279,eastern,9
74,2000-07-01,TBA,NYA,True,1,6,STP01,Tropicana Field,St. Petersburg,FL,44,6,5,1,0,18,9,5,0,33,3,1,0,1,21,5,2,0,2000,7,1,0,United States,-1,0,-81.686783,27.766279,eastern,9
75,2000-07-02,TBA,NYA,True,2,5,STP01,Tropicana Field,St. Petersburg,FL,39,9,0,0,1,21,4,4,0,36,3,0,1,0,21,7,3,1,2000,7,2,0,United States,-1,0,-81.686783,27.766279,eastern,9
76,2000-07-04,NYA,BAL,True,6,7,NYC16,Yankee Stadium I,New York,NY,39,2,1,0,4,21,7,3,1,39,6,3,0,1,21,4,3,1,2000,7,4,0,United States,-1,0,-74.948051,42.165726,eastern,9
77,2000-07-05,NYA,BAL,False,12,6,NYC16,Yankee Stadium I,New York,NY,41,6,2,1,1,21,5,5,0,41,7,4,0,2,20,2,5,1,2000,7,5,0,United States,1,1,-74.948051,42.165726,eastern,9
78,2000-07-06,NYA,BAL,True,13,9,NYC16,Yankee Stadium I,New York,NY,44,8,2,0,1,20,3,9,1,43,4,2,0,4,18,6,9,0,2000,7,6,0,United States,1,1,-74.948051,42.165726,eastern,9
79,2000-07-07,NYN,NYA,False,1,2,NYC17,Shea Stadium,New York,NY,32,6,0,0,0,17,8,1,0,34,4,1,1,0,22,4,2,0,2000,7,7,0,United States,-1,0,-74.948051,42.165726,eastern,9
80,2000-07-08,NYN,NYA,True,2,4,NYC17,Shea Stadium,New York,NY,39,3,2,0,1,21,6,6,0,35,4,2,0,0,24,3,2,0,2000,7,8,0,United States,-1,0,-74.948051,42.165726,eastern,9
81,2000-07-08,NYA,NYN,False,4,2,NYC16,Yankee Stadium I,New York,NY,36,6,1,0,0,22,5,1,1,30,4,0,0,1,14,10,0,1,2000,7,8,0,United States,1,1,-74.948051,42.165726,eastern,9
82,2000-07-09,NYN,NYA,True,2,0,NYC17,Shea Stadium,New York,NY,34,6,1,0,0,12,11,4,0,34,4,1,0,1,18,5,5,0,2000,7,9,0,United States,1,1,-74.948051,42.165726,eastern,9
83,2000-07-13,NYA,FLO,False,9,11,NYC16,Yankee Stadium I,New York,NY,45,8,4,0,2,20,6,4,1,47,8,3,0,1,19,8,8,0,2000,7,13,0,United States,-1,0,-74.948051,42.165726,eastern,9
84,2000-07-14,NYA,FLO,False,6,2,NYC16,Yankee Stadium I,New York,NY,36,3,3,0,1,20,6,3,0,36,5,1,0,3,17,6,4,0,2000,7,14,0,United States,1,1,-74.948051,42.165726,eastern,9
85,2000-07-16,NYA,PHI,True,9,8,NYC16,Yankee Stadium I,New York,NY,44,10,2,0,2,24,4,2,0,50,11,1,0,1,21,7,8,1,2000,7,16,0,United States,1,1,-74.948051,42.165726,eastern,9
