,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-03-29,NYN,CHN,False,3,5,TOK01,Tokyo Dome,Tokyo,JAP,45,9,1,0,2,17,5,10,1,38,5,1,0,1,24,4,3,0,2000,3,29,1,Japan,-1,0,138.2529,36.2048,eastern,3
1,2000-03-30,CHN,NYN,False,1,5,TOK01,Tokyo Dome,Tokyo,JAP,48,3,2,0,1,28,5,8,1,44,5,0,0,0,24,9,6,0,2000,3,30,1,Japan,-1,0,138.2529,36.2048,central,4
2,2000-04-03,NYN,SDN,True,2,1,NYC17,Shea Stadium,New York,NY,33,4,0,0,1,19,8,0,1,30,2,1,0,1,16,7,2,1,2000,4,3,0,United States,1,1,-74.948051,42.165726,eastern,5
3,2000-04-05,NYN,SDN,False,0,4,NYC17,Shea Stadium,New York,NY,39,9,2,0,0,18,8,2,0,38,4,3,0,0,17,10,4,0,2000,4,5,0,United States,-1,0,-74.948051,42.165726,eastern,5
4,2000-04-06,NYN,SDN,False,5,8,NYC17,Shea Stadium,New York,NY,42,5,2,2,1,20,8,4,0,42,6,1,0,1,20,8,5,1,2000,4,6,0,United States,-1,0,-74.948051,42.165726,eastern,5
5,2000-04-07,NYN,LAN,False,2,1,NYC17,Shea Stadium,New York,NY,33,2,1,0,1,20,7,2,0,34,1,1,0,0,17,6,8,1,2000,4,7,0,United States,1,1,-74.948051,42.165726,eastern,5
6,2000-04-08,NYN,LAN,True,5,6,NYC17,Shea Stadium,New York,NY,42,4,1,0,4,20,8,5,0,46,7,2,0,2,21,10,4,0,2000,4,8,0,United States,-1,0,-74.948051,42.165726,eastern,5
7,2000-04-10,PHI,NYN,False,9,7,PHI12,Veterans Stadium,Philadelphia,PA,36,3,6,0,0,18,7,2,0,34,4,3,1,1,19,4,2,0,2000,4,10,0,United States,1,1,-77.209755,40.590752,eastern,5
8,2000-04-12,PHI,NYN,False,8,5,PHI12,Veterans Stadium,Philadelphia,PA,38,4,2,0,1,19,8,4,0,43,6,4,0,2,18,5,8,0,2000,4,12,0,United States,1,1,-77.209755,40.590752,eastern,5
9,2000-04-13,PHI,NYN,False,1,2,PHI12,Veterans Stadium,Philadelphia,PA,42,7,1,0,0,19,7,8,0,36,2,2,0,1,25,2,4,0,2000,4,13,0,United States,-1,0,-77.209755,40.590752,eastern,5
10,2000-04-14,PIT,NYN,False,5,8,PIT07,Three Rivers Stadium,Pittsburgh,PA,59,13,3,1,3,23,7,9,0,54,4,4,1,2,27,10,5,1,2000,4,14,0,United States,-1,0,-77.209755,40.590752,eastern,5
11,2000-04-15,PIT,NYN,True,2,0,PIT07,Three Rivers Stadium,Pittsburgh,PA,33,5,0,0,0,19,7,1,1,28,3,0,0,1,18,5,1,0,2000,4,15,0,United States,1,1,-77.209755,40.590752,eastern,5
12,2000-04-16,PIT,NYN,True,9,12,PIT07,Three Rivers Stadium,Pittsburgh,PA,48,6,7,0,2,22,5,5,1,45,6,3,0,2,23,6,4,1,2000,4,16,0,United States,-1,0,-77.209755,40.590752,eastern,5
13,2000-04-18,NYN,MIL,False,10,7,NYC17,Shea Stadium,New York,NY,40,8,1,0,0,16,9,6,0,43,6,4,0,1,16,8,8,0,2000,4,18,0,United States,1,1,-74.948051,42.165726,eastern,5
14,2000-04-19,NYN,MIL,False,3,1,NYC17,Shea Stadium,New York,NY,35,6,1,0,1,18,7,2,0,37,8,0,0,0,20,3,6,0,2000,4,19,0,United States,1,1,-74.948051,42.165726,eastern,5
15,2000-04-20,NYN,MIL,False,5,4,NYC17,Shea Stadium,New York,NY,46,5,2,0,2,20,10,5,2,37,3,1,0,3,19,9,2,0,2000,4,20,0,United States,1,1,-74.948051,42.165726,eastern,5
16,2000-04-22,NYN,CHN,True,8,3,NYC17,Shea Stadium,New York,NY,36,5,1,0,2,22,5,1,0,41,9,3,0,0,19,3,6,1,2000,4,22,0,United States,1,1,-74.948051,42.165726,eastern,5
17,2000-04-22,NYN,CHN,True,7,6,NYC17,Shea Stadium,New York,NY,42,6,4,0,1,21,5,4,1,37,6,3,0,1,14,6,7,0,2000,4,22,0,United States,1,1,-74.948051,42.165726,eastern,5
18,2000-04-23,NYN,CHN,True,15,8,NYC17,Shea Stadium,New York,NY,42,4,4,0,2,24,4,4,0,45,11,4,0,3,16,9,2,0,2000,4,23,0,United States,1,1,-74.948051,42.165726,eastern,5
19,2000-04-24,NYN,LAN,True,1,0,NYC17,Shea Stadium,New York,NY,34,3,0,0,0,18,7,5,1,36,5,3,0,0,22,2,4,0,2000,4,24,0,United States,1,1,-74.948051,42.165726,eastern,5
20,2000-04-25,NYN,CIN,False,6,5,NYC17,Shea Stadium,New York,NY,39,5,3,0,0,17,7,5,2,40,2,3,0,3,16,7,9,0,2000,4,25,0,United States,1,1,-74.948051,42.165726,eastern,5
21,2000-04-26,NYN,CIN,False,1,12,NYC17,Shea Stadium,New York,NY,50,9,7,0,2,22,4,6,0,35,1,2,1,0,17,10,4,0,2000,4,26,0,United States,-1,0,-74.948051,42.165726,eastern,5
22,2000-04-27,NYN,CIN,True,1,2,NYC17,Shea Stadium,New York,NY,46,5,2,0,1,27,8,3,0,49,4,1,0,1,28,5,9,1,2000,4,27,0,United States,-1,0,-74.948051,42.165726,eastern,5
23,2000-04-28,COL,NYN,False,12,5,DEN02,Coors Field,Denver,CO,41,10,2,0,0,21,4,3,1,45,6,6,2,0,21,4,5,1,2000,4,28,0,United States,1,1,-105.311104,39.059811,mountain,7
24,2000-04-29,COL,NYN,True,6,13,DEN02,Coors Field,Denver,CO,50,15,6,2,0,19,4,4,0,37,5,1,1,3,20,5,2,0,2000,4,29,0,United States,-1,0,-105.311104,39.059811,mountain,7
25,2000-04-30,COL,NYN,True,11,14,DEN02,Coors Field,Denver,CO,50,9,2,0,4,20,7,8,0,44,4,2,1,3,20,6,6,2,2000,4,30,0,United States,-1,0,-105.311104,39.059811,mountain,7
26,2000-05-01,SFN,NYN,False,10,3,SFO03,Oracle Park,San Francisco,CA,35,6,0,0,1,19,4,5,0,43,6,3,0,2,18,6,7,1,2000,5,1,0,United States,1,1,-119.681564,36.116203,pacific,8
27,2000-05-02,SFN,NYN,False,7,1,SFO03,Oracle Park,San Francisco,CA,37,6,2,0,0,21,5,3,0,35,7,2,1,1,21,2,0,1,2000,5,2,0,United States,1,1,-119.681564,36.116203,pacific,8
28,2000-05-03,SFN,NYN,True,8,5,SFO03,Oracle Park,San Francisco,CA,44,10,2,1,1,19,9,2,0,49,11,0,0,1,23,5,9,0,2000,5,3,0,United States,1,1,-119.681564,36.116203,pacific,8
