,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-03,OAK,DET,False,4,7,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,46,6,4,0,1,18,10,6,1,34,0,0,0,4,18,9,3,0,2000,4,3,0,United States,-1,0,-119.681564,36.116203,pacific,0
1,2000-04-04,OAK,DET,False,3,1,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,33,1,1,0,0,16,11,4,0,32,4,0,1,0,14,9,4,0,2000,4,4,0,United States,1,1,-119.681564,36.116203,pacific,0
2,2000-04-05,OAK,DET,True,8,2,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,35,6,0,0,0,21,4,3,1,36,6,2,0,2,18,6,2,0,2000,4,5,0,United States,1,1,-119.681564,36.116203,pacific,0
3,2000-04-07,OAK,CHA,False,6,7,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,42,5,3,0,1,16,9,7,1,38,3,1,0,2,13,11,7,1,2000,4,7,0,United States,-1,0,-119.681564,36.116203,pacific,0
4,2000-04-08,OAK,CHA,True,3,7,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,39,11,1,0,1,20,4,2,0,42,5,2,0,0,22,8,5,0,2000,4,8,0,United States,-1,0,-119.681564,36.116203,pacific,0
5,2000-04-09,OAK,CHA,True,14,2,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,36,7,1,0,1,20,5,2,0,43,6,0,1,2,18,6,10,0,2000,4,9,0,United States,1,1,-119.681564,36.116203,pacific,0
6,2000-04-10,OAK,CLE,False,4,9,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,53,10,3,1,0,24,3,10,2,37,6,1,0,1,10,16,3,0,2000,4,10,0,United States,-1,0,-119.681564,36.116203,pacific,0
7,2000-04-11,OAK,CLE,False,1,5,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,40,4,2,0,1,19,7,6,1,34,2,1,0,1,18,8,4,0,2000,4,11,0,United States,-1,0,-119.681564,36.116203,pacific,0
8,2000-04-12,OAK,CLE,True,0,5,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,34,4,3,0,1,17,7,2,0,31,5,0,0,0,18,6,2,0,2000,4,12,0,United States,-1,0,-119.681564,36.116203,pacific,0
9,2000-04-14,BOS,OAK,False,6,13,BOS07,Fenway Park,Boston,MA,48,6,1,1,3,16,12,8,1,40,11,0,1,0,19,8,1,0,2000,4,14,0,United States,-1,0,-71.530106,42.230171,eastern,3
10,2000-04-15,BOS,OAK,True,14,2,BOS07,Fenway Park,Boston,MA,34,4,1,0,1,16,10,1,1,48,6,5,1,1,22,5,8,0,2000,4,15,0,United States,1,1,-71.530106,42.230171,eastern,3
11,2000-04-16,BOS,OAK,True,5,4,BOS07,Fenway Park,Boston,MA,40,7,3,0,0,17,9,3,1,33,6,2,0,1,20,3,1,0,2000,4,16,0,United States,1,1,-71.530106,42.230171,eastern,3
12,2000-04-17,BOS,OAK,True,0,1,BOS07,Fenway Park,Boston,MA,37,8,2,0,0,16,7,4,0,33,3,1,0,0,18,8,3,0,2000,4,17,0,United States,-1,0,-71.530106,42.230171,eastern,3
13,2000-04-18,CLE,OAK,False,5,8,CLE08,Progressive Field,Cleveland,OH,44,5,2,1,1,17,10,8,0,38,6,1,0,2,19,6,3,1,2000,4,18,0,United States,-1,0,-82.764915,40.388783,eastern,3
