,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-04,PIT,HOU,False,2,5,PIT07,Three Rivers Stadium,Pittsburgh,PA,37,3,1,0,1,20,6,6,0,36,5,0,0,1,21,5,3,1,2000,4,4,0,United States,-1,0,-77.209755,40.590752,eastern,3
1,2000-04-05,PIT,HOU,False,2,11,PIT07,Three Rivers Stadium,Pittsburgh,PA,43,6,2,1,1,14,12,7,0,38,7,2,0,0,24,2,3,0,2000,4,5,0,United States,-1,0,-77.209755,40.590752,eastern,3
2,2000-04-06,PIT,HOU,True,10,1,PIT07,Three Rivers Stadium,Pittsburgh,PA,31,0,2,0,0,18,8,3,0,44,9,4,1,2,15,9,4,0,2000,4,6,0,United States,1,1,-77.209755,40.590752,eastern,3
3,2000-04-07,ARI,PIT,False,2,7,PHO01,Chase Field,Phoenix,AZ,41,7,5,0,0,22,5,2,0,34,3,3,0,1,21,5,1,0,2000,4,7,0,United States,-1,0,-111.431221,33.729759,mountain,5
4,2000-04-08,ARI,PIT,True,6,5,PHO01,Chase Field,Phoenix,AZ,40,9,1,0,2,20,4,3,1,42,7,3,0,2,21,4,5,0,2000,4,8,0,United States,1,1,-111.431221,33.729759,mountain,5
5,2000-04-09,ARI,PIT,True,1,0,PHO01,Chase Field,Phoenix,AZ,31,4,1,0,0,13,13,0,0,30,4,0,0,0,17,5,4,0,2000,4,9,0,United States,1,1,-111.431221,33.729759,mountain,5
6,2000-04-11,PIT,MON,False,3,7,PIT07,Three Rivers Stadium,Pittsburgh,PA,38,5,0,1,3,16,10,3,0,32,3,1,0,0,18,7,3,0,2000,4,11,0,United States,-1,0,-77.209755,40.590752,eastern,7
7,2000-04-12,PIT,MON,False,6,4,PIT07,Three Rivers Stadium,Pittsburgh,PA,36,5,2,0,0,19,8,2,0,35,7,2,0,1,13,9,3,0,2000,4,12,0,United States,1,1,-77.209755,40.590752,eastern,7
8,2000-04-13,PIT,MON,False,4,3,PIT07,Three Rivers Stadium,Pittsburgh,PA,34,5,3,0,0,20,4,2,0,37,7,2,1,0,17,9,1,0,2000,4,13,0,United States,1,1,-77.209755,40.590752,eastern,7
9,2000-04-14,PIT,NYN,False,5,8,PIT07,Three Rivers Stadium,Pittsburgh,PA,59,13,3,1,3,23,7,9,0,54,4,4,1,2,27,10,5,1,2000,4,14,0,United States,-1,0,-77.209755,40.590752,eastern,7
10,2000-04-15,PIT,NYN,True,2,0,PIT07,Three Rivers Stadium,Pittsburgh,PA,33,5,0,0,0,19,7,1,1,28,3,0,0,1,18,5,1,0,2000,4,15,0,United States,1,1,-77.209755,40.590752,eastern,7
11,2000-04-16,PIT,NYN,True,9,12,PIT07,Three Rivers Stadium,Pittsburgh,PA,48,6,7,0,2,22,5,5,1,45,6,3,0,2,23,6,4,1,2000,4,16,0,United States,-1,0,-77.209755,40.590752,eastern,7
12,2000-04-18,FLO,PIT,False,12,5,MIA01,Sun Life Stadium,Miami,FL,39,7,1,1,1,17,7,4,1,48,13,3,1,0,17,6,8,0,2000,4,18,0,United States,1,1,-81.686783,27.766279,eastern,7
13,2000-04-19,FLO,PIT,False,1,5,MIA01,Sun Life Stadium,Miami,FL,40,7,1,0,0,24,3,5,0,36,6,2,0,0,18,8,2,0,2000,4,19,0,United States,-1,0,-81.686783,27.766279,eastern,7
14,2000-04-20,FLO,PIT,False,3,2,MIA01,Sun Life Stadium,Miami,FL,54,7,4,0,0,29,10,4,0,59,8,2,0,0,26,16,7,0,2000,4,20,0,United States,1,1,-81.686783,27.766279,eastern,7
