,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-03,NYN,SDN,True,2,1,NYC17,Shea Stadium,New York,NY,33,4,0,0,1,19,8,0,1,30,2,1,0,1,16,7,2,1,2000,4,3,0,United States,1,1,-74.948051,42.165726,eastern,3
1,2000-04-05,NYN,SDN,False,0,4,NYC17,Shea Stadium,New York,NY,39,9,2,0,0,18,8,2,0,38,4,3,0,0,17,10,4,0,2000,4,5,0,United States,-1,0,-74.948051,42.165726,eastern,3
2,2000-04-06,NYN,SDN,False,5,8,NYC17,Shea Stadium,New York,NY,42,5,2,2,1,20,8,4,0,42,6,1,0,1,20,8,5,1,2000,4,6,0,United States,-1,0,-74.948051,42.165726,eastern,3
3,2000-04-07,MON,SDN,False,5,10,MON02,Stade Olympique,Montreal,QUE,45,10,1,0,2,22,7,1,2,39,8,4,0,0,19,6,2,0,2000,4,7,1,Canada,-1,0,-79.347015,43.65107,eastern,3
4,2000-04-08,MON,SDN,True,10,9,MON02,Stade Olympique,Montreal,QUE,40,4,3,1,3,21,6,2,0,41,6,3,0,2,12,10,7,1,2000,4,8,1,Canada,1,1,-79.347015,43.65107,eastern,3
5,2000-04-09,MON,SDN,True,2,1,MON02,Stade Olympique,Montreal,QUE,31,6,1,0,0,20,3,1,0,31,3,1,0,0,18,5,4,0,2000,4,9,1,Canada,1,1,-79.347015,43.65107,eastern,3
6,2000-04-10,SDN,ARI,True,4,8,SAN01,Qualcomm Stadium,San Diego,CA,43,7,0,0,5,16,11,4,0,38,7,2,0,2,19,6,2,0,2000,4,10,0,United States,-1,0,-119.681564,36.116203,pacific,6
7,2000-04-11,SDN,ARI,False,3,2,SAN01,Qualcomm Stadium,San Diego,CA,50,6,1,0,0,30,5,8,0,50,6,1,0,2,28,9,3,1,2000,4,11,0,United States,1,1,-119.681564,36.116203,pacific,6
8,2000-04-12,SDN,ARI,False,4,2,SAN01,Qualcomm Stadium,San Diego,CA,32,4,0,1,1,19,5,2,0,33,5,0,0,1,19,5,3,0,2000,4,12,0,United States,1,1,-119.681564,36.116203,pacific,6
9,2000-04-13,SDN,ARI,True,4,5,SAN01,Qualcomm Stadium,San Diego,CA,41,5,2,0,2,20,9,3,0,35,6,2,0,2,15,9,0,1,2000,4,13,0,United States,-1,0,-119.681564,36.116203,pacific,6
10,2000-04-14,SDN,HOU,False,4,10,SAN01,Qualcomm Stadium,San Diego,CA,44,7,1,0,3,22,3,8,0,39,9,3,1,0,20,5,1,0,2000,4,14,0,United States,-1,0,-119.681564,36.116203,pacific,6
11,2000-04-15,SDN,HOU,False,5,3,SAN01,Qualcomm Stadium,San Diego,CA,35,5,1,0,1,19,6,3,0,36,5,2,0,2,17,6,4,0,2000,4,15,0,United States,1,1,-119.681564,36.116203,pacific,6
12,2000-04-16,SDN,HOU,True,13,3,SAN01,Qualcomm Stadium,San Diego,CA,39,7,1,0,0,18,10,2,1,45,15,1,0,2,15,8,2,2,2000,4,16,0,United States,1,1,-119.681564,36.116203,pacific,6
13,2000-04-18,SLN,SDN,False,5,4,STL09,Busch Stadium II,St. Louis,MO,39,4,4,0,1,15,11,4,0,36,4,5,0,1,20,3,3,0,2000,4,18,0,United States,1,1,-92.288368,38.456085,central,8
14,2000-04-19,SLN,SDN,False,4,3,STL09,Busch Stadium II,St. Louis,MO,30,4,0,1,1,17,7,0,0,35,7,0,0,2,11,11,4,0,2000,4,19,0,United States,1,1,-92.288368,38.456085,central,8
15,2000-04-20,SLN,SDN,False,14,1,STL09,Busch Stadium II,St. Louis,MO,41,5,1,0,0,20,6,9,0,49,10,1,0,3,15,10,10,0,2000,4,20,0,United States,1,1,-92.288368,38.456085,central,8
16,2000-04-21,HOU,SDN,False,2,7,HOU03,Minute Maid Park,Houston,TX,41,4,7,0,0,19,8,3,0,39,4,1,0,1,17,9,7,0,2000,4,21,0,United States,-1,0,-97.563461,31.054487,central,8
17,2000-04-22,HOU,SDN,True,6,8,HOU03,Minute Maid Park,Houston,TX,46,7,5,0,2,18,10,4,0,45,1,3,0,2,16,14,7,2,2000,4,22,0,United States,-1,0,-97.563461,31.054487,central,8
18,2000-04-23,HOU,SDN,True,10,11,HOU03,Minute Maid Park,Houston,TX,45,11,2,1,0,19,7,5,0,41,5,2,0,3,18,8,3,2,2000,4,23,0,United States,-1,0,-97.563461,31.054487,central,8
19,2000-04-25,PIT,SDN,False,4,3,PIT07,Three Rivers Stadium,Pittsburgh,PA,45,12,1,0,0,17,13,1,1,47,6,2,1,0,27,7,4,0,2000,4,25,0,United States,1,1,-77.209755,40.590752,eastern,9
20,2000-04-26,PIT,SDN,False,9,8,PIT07,Three Rivers Stadium,Pittsburgh,PA,43,5,4,0,1,18,11,3,1,40,7,2,0,3,15,9,4,0,2000,4,26,0,United States,1,1,-77.209755,40.590752,eastern,9
21,2000-04-27,PIT,SDN,True,4,12,PIT07,Three Rivers Stadium,Pittsburgh,PA,51,10,2,1,2,21,5,9,1,35,3,0,0,1,21,6,3,1,2000,4,27,0,United States,-1,0,-77.209755,40.590752,eastern,9
22,2000-04-28,SDN,ATL,False,2,7,SAN01,Qualcomm Stadium,San Diego,CA,36,3,1,1,2,18,6,4,1,34,6,2,0,0,19,6,1,0,2000,4,28,0,United States,-1,0,-119.681564,36.116203,pacific,12
23,2000-04-29,SDN,ATL,False,4,7,SAN01,Qualcomm Stadium,San Diego,CA,49,4,4,0,2,25,10,4,0,57,8,2,0,0,20,15,12,0,2000,4,29,0,United States,-1,0,-119.681564,36.116203,pacific,12
24,2000-04-30,SDN,ATL,False,4,7,SAN01,Qualcomm Stadium,San Diego,CA,42,6,1,0,1,15,12,7,0,34,4,1,0,1,16,9,3,0,2000,4,30,0,United States,-1,0,-119.681564,36.116203,pacific,12
25,2000-05-01,SDN,FLO,False,2,5,SAN01,Qualcomm Stadium,San Diego,CA,34,4,4,0,1,20,5,0,0,36,6,2,0,0,15,10,3,0,2000,5,1,0,United States,-1,0,-119.681564,36.116203,pacific,12
26,2000-05-02,SDN,FLO,False,8,3,SAN01,Qualcomm Stadium,San Diego,CA,37,2,2,0,2,20,8,3,0,36,6,2,0,3,18,6,1,0,2000,5,2,0,United States,1,1,-119.681564,36.116203,pacific,12
27,2000-05-03,SDN,FLO,False,3,1,SAN01,Qualcomm Stadium,San Diego,CA,32,4,0,0,1,20,6,0,1,33,3,1,0,1,16,7,5,0,2000,5,3,0,United States,1,1,-119.681564,36.116203,pacific,12
28,2000-05-05,ARI,SDN,False,5,3,PHO01,Chase Field,Phoenix,AZ,35,3,1,0,1,16,11,3,0,37,4,0,0,4,20,4,3,2,2000,5,5,0,United States,1,1,-111.431221,33.729759,mountain,13
29,2000-05-06,ARI,SDN,True,10,5,PHO01,Chase Field,Phoenix,AZ,35,4,1,0,3,21,5,1,0,40,9,2,0,1,21,2,5,0,2000,5,6,0,United States,1,1,-111.431221,33.729759,mountain,13
30,2000-05-07,ARI,SDN,True,8,1,PHO01,Chase Field,Phoenix,AZ,37,8,0,0,0,15,11,2,1,40,8,3,0,0,19,3,6,1,2000,5,7,0,United States,1,1,-111.431221,33.729759,mountain,13
31,2000-05-09,CIN,SDN,False,2,0,CIN08,Cinergy Field,Cincinnati,OH,37,6,2,0,0,22,4,3,0,38,4,3,0,0,22,1,7,1,2000,5,9,0,United States,1,1,-82.764915,40.388783,eastern,15
32,2000-05-10,CIN,SDN,False,5,1,CIN08,Cinergy Field,Cincinnati,OH,34,5,0,0,1,21,5,2,0,34,4,2,1,1,14,9,3,0,2000,5,10,0,United States,1,1,-82.764915,40.388783,eastern,15
33,2000-05-11,CIN,SDN,True,11,9,CIN08,Cinergy Field,Cincinnati,OH,42,5,3,1,2,26,1,4,0,43,10,2,0,4,19,5,3,0,2000,5,11,0,United States,1,1,-82.764915,40.388783,eastern,15
34,2000-05-12,SDN,ARI,False,4,6,SAN01,Qualcomm Stadium,San Diego,CA,37,5,2,0,1,25,2,2,0,41,8,0,0,1,25,3,4,0,2000,5,12,0,United States,-1,0,-119.681564,36.116203,pacific,18
35,2000-05-13,SDN,ARI,False,2,6,SAN01,Qualcomm Stadium,San Diego,CA,38,4,4,0,1,16,10,3,0,39,8,0,0,1,17,9,4,0,2000,5,13,0,United States,-1,0,-119.681564,36.116203,pacific,18
36,2000-05-14,SDN,ARI,True,3,1,SAN01,Qualcomm Stadium,San Diego,CA,33,1,0,0,1,24,4,3,0,33,3,2,0,0,20,6,2,0,2000,5,14,0,United States,1,1,-119.681564,36.116203,pacific,18
37,2000-05-16,FLO,SDN,False,3,7,MIA01,Sun Life Stadium,Miami,FL,39,7,0,0,2,16,11,2,1,32,6,0,0,1,19,5,0,1,2000,5,16,0,United States,-1,0,-81.686783,27.766279,eastern,21
38,2000-05-17,FLO,SDN,False,4,2,MIA01,Sun Life Stadium,Miami,FL,36,6,0,1,1,19,6,3,0,39,6,2,0,1,17,6,6,1,2000,5,17,0,United States,1,1,-81.686783,27.766279,eastern,21
39,2000-05-18,FLO,SDN,False,2,6,MIA01,Sun Life Stadium,Miami,FL,42,10,3,1,1,15,10,2,0,37,5,1,0,0,19,8,4,0,2000,5,18,0,United States,-1,0,-81.686783,27.766279,eastern,21
40,2000-05-19,ATL,SDN,False,7,11,ATL02,Turner Field,Atlanta,GA,43,9,1,0,2,25,3,2,1,45,10,1,0,4,22,5,2,1,2000,5,19,0,United States,-1,0,-83.643074,33.040619,eastern,21
41,2000-05-20,ATL,SDN,False,10,6,ATL02,Turner Field,Atlanta,GA,41,9,3,0,1,16,8,4,0,38,8,1,0,1,17,8,2,1,2000,5,20,0,United States,1,1,-83.643074,33.040619,eastern,21
42,2000-05-21,ATL,SDN,True,12,6,ATL02,Turner Field,Atlanta,GA,41,4,3,0,4,17,8,5,0,44,8,5,1,2,16,5,6,1,2000,5,21,0,United States,1,1,-83.643074,33.040619,eastern,21
43,2000-05-22,SDN,NYN,False,1,0,SAN01,Qualcomm Stadium,San Diego,CA,35,5,0,0,0,22,6,2,0,30,4,0,1,0,19,4,2,0,2000,5,22,0,United States,1,1,-119.681564,36.116203,pacific,24
44,2000-05-23,SDN,NYN,True,3,5,SAN01,Qualcomm Stadium,San Diego,CA,38,2,1,0,3,19,11,2,0,39,3,3,0,1,19,10,2,1,2000,5,23,0,United States,-1,0,-119.681564,36.116203,pacific,24
45,2000-05-24,SDN,NYN,False,5,4,SAN01,Qualcomm Stadium,San Diego,CA,37,5,1,0,1,20,7,3,0,38,5,3,0,3,19,4,4,0,2000,5,24,0,United States,1,1,-119.681564,36.116203,pacific,24
46,2000-05-26,SDN,MON,False,6,2,SAN01,Qualcomm Stadium,San Diego,CA,37,4,2,0,0,23,6,2,0,36,9,2,0,0,20,3,2,0,2000,5,26,0,United States,1,1,-119.681564,36.116203,pacific,24
47,2000-05-27,SDN,MON,False,4,2,SAN01,Qualcomm Stadium,San Diego,CA,41,6,1,0,0,19,8,6,1,32,7,1,0,2,15,6,1,0,2000,5,27,0,United States,1,1,-119.681564,36.116203,pacific,24
48,2000-05-28,SDN,MON,True,4,3,SAN01,Qualcomm Stadium,San Diego,CA,39,6,1,0,1,15,12,4,0,33,3,2,1,0,21,3,2,1,2000,5,28,0,United States,1,1,-119.681564,36.116203,pacific,24
