,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,year,month,day,isAbroad,country,winner,home_won,Longitude,Latitude,time_zone,time_zones_crossed
0,2000-04-03,SLN,CHN,True,7,1,STL09,Busch Stadium II,St. Louis,MO,32,2,1,0,0,18,7,3,1,41,5,1,1,3,18,6,7,0,2000,4,3,0,United States,1,1,-92.288368,38.456085,central,2
1,2000-04-05,SLN,CHN,False,10,4,STL09,Busch Stadium II,St. Louis,MO,38,6,3,0,0,22,3,2,2,41,3,6,1,2,19,6,4,0,2000,4,5,0,United States,1,1,-92.288368,38.456085,central,2
2,2000-04-06,SLN,CHN,True,13,3,STL09,Busch Stadium II,St. Louis,MO,35,4,1,0,1,20,6,2,1,42,6,1,0,4,16,8,6,1,2000,4,6,0,United States,1,1,-92.288368,38.456085,central,2
3,2000-04-07,SLN,MIL,False,1,9,STL09,Busch Stadium II,St. Louis,MO,43,8,1,0,2,22,4,4,2,40,5,1,0,0,15,11,6,2,2000,4,7,0,United States,-1,0,-92.288368,38.456085,central,2
4,2000-04-08,SLN,MIL,True,10,8,STL09,Busch Stadium II,St. Louis,MO,44,5,2,0,2,15,11,6,3,46,10,2,2,1,16,9,6,0,2000,4,8,0,United States,1,1,-92.288368,38.456085,central,2
5,2000-04-09,SLN,MIL,True,11,2,STL09,Busch Stadium II,St. Louis,MO,38,4,1,0,1,15,12,5,0,46,8,2,0,6,17,6,6,1,2000,4,9,0,United States,1,1,-92.288368,38.456085,central,2
6,2000-04-10,HOU,SLN,False,7,8,HOU03,Minute Maid Park,Houston,TX,42,5,3,1,4,15,10,3,1,36,2,1,0,4,18,7,3,1,2000,4,10,0,United States,-1,0,-97.563461,31.054487,central,2
7,2000-04-11,HOU,SLN,False,6,10,HOU03,Minute Maid Park,Houston,TX,39,4,1,1,3,17,6,7,0,37,4,1,1,2,19,7,2,1,2000,4,11,0,United States,-1,0,-97.563461,31.054487,central,2
8,2000-04-12,HOU,SLN,False,7,5,HOU03,Minute Maid Park,Houston,TX,38,5,1,1,2,18,8,3,0,37,3,3,0,3,13,10,5,0,2000,4,12,0,United States,1,1,-97.563461,31.054487,central,2
9,2000-04-13,COL,SLN,False,12,6,DEN02,Coors Field,Denver,CO,41,6,2,0,3,18,8,3,1,46,9,1,1,3,21,4,4,3,2000,4,13,0,United States,1,1,-105.311104,39.059811,mountain,3
10,2000-04-14,COL,SLN,False,6,2,DEN02,Coors Field,Denver,CO,35,3,2,0,1,16,11,2,0,37,5,1,0,3,20,1,6,1,2000,4,14,0,United States,1,1,-105.311104,39.059811,mountain,3
11,2000-04-16,COL,SLN,True,3,9,DEN02,Coors Field,Denver,CO,45,6,3,0,2,17,11,4,2,34,6,2,0,1,20,4,1,0,2000,4,16,0,United States,-1,0,-105.311104,39.059811,mountain,3
12,2000-04-16,COL,SLN,False,14,13,DEN02,Coors Field,Denver,CO,54,11,4,0,2,15,11,10,1,48,10,5,0,0,18,6,8,1,2000,4,16,0,United States,1,1,-105.311104,39.059811,mountain,3
13,2000-04-18,SLN,SDN,False,5,4,STL09,Busch Stadium II,St. Louis,MO,39,4,4,0,1,15,11,4,0,36,4,5,0,1,20,3,3,0,2000,4,18,0,United States,1,1,-92.288368,38.456085,central,4
14,2000-04-19,SLN,SDN,False,4,3,STL09,Busch Stadium II,St. Louis,MO,30,4,0,1,1,17,7,0,0,35,7,0,0,2,11,11,4,0,2000,4,19,0,United States,1,1,-92.288368,38.456085,central,4
15,2000-04-20,SLN,SDN,False,14,1,STL09,Busch Stadium II,St. Louis,MO,41,5,1,0,0,20,6,9,0,49,10,1,0,3,15,10,10,0,2000,4,20,0,United States,1,1,-92.288368,38.456085,central,4
16,2000-04-21,SLN,COL,False,4,6,STL09,Busch Stadium II,St. Louis,MO,42,9,0,0,1,23,4,5,0,39,9,2,0,1,23,4,0,0,2000,4,21,0,United States,-1,0,-92.288368,38.456085,central,4
17,2000-04-22,SLN,COL,False,6,7,STL09,Busch Stadium II,St. Louis,MO,42,8,2,0,1,22,5,4,0,41,3,1,0,2,21,7,7,0,2000,4,22,0,United States,-1,0,-92.288368,38.456085,central,4
18,2000-04-23,SLN,COL,True,6,3,STL09,Busch Stadium II,St. Louis,MO,28,1,1,1,1,10,10,4,0,31,4,1,1,2,15,3,3,2,2000,4,23,0,United States,1,1,-92.288368,38.456085,central,4
19,2000-04-25,SLN,MIL,False,7,2,STL09,Busch Stadium II,St. Louis,MO,35,4,2,0,1,14,12,1,1,38,7,0,0,3,15,5,7,1,2000,4,25,0,United States,1,1,-92.288368,38.456085,central,4
